genes	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01
LRRC32	5.553778730453606	4.364971394685984	4.699623617676416	5.102423974810316	4.045512227511953	3.3957915250684216	5.301871275330454	4.8564705208352095	3.5922879703748727	3.6824204589532794	3.934374531563911	4.254055504001672	5.221720059446634	4.670383121564491	5.451919225171922	3.9069382688755443	3.860137043113461	5.514587893402702	5.512502971231886	4.875625951740753	4.780775873972004	3.35351496058734	4.795894319198355	3.9973868882872967	4.203029204907654	3.8742118019397207	5.582267045514673	4.243398583746046	4.897759680764722	5.261196338338241	3.9525498164979833	3.926662003821722	4.825787622621911	4.941828138108809	5.132712569155611	4.6156288867243145
SIGLEC15	0.08564104648209536	-0.02856377044980718	3.018232707627323	2.020038918355059	-2.3787710766671317	-0.5085111037484964	-0.6389900170938816	-1.927133141041942	-1.1205160089263764	1.7505154533022242	-1.4150930662751406	0.22632197648323782	2.3188586990150455	-0.19623940666102158	0.04444243856985608	-0.9187720240703783	-2.732171021749629	-2.6761078166715393	-0.08459998629691512	3.2851960220527374	3.567854454320482	-4.499792050608665	-2.5516081919908515	3.0004704477033073	-4.3033019267053625	-0.8361905051600615	-1.4473545216643622	-1.7901438171036688	-0.70959624649376	1.636544228208038	0.24980314568123063	-2.0054822198057245	-0.4317454458746184	-1.5963724041919392	2.720757695200774	6.898178536249588
TDO2	1.580894516492119	1.1180625849274275	1.1893726861687677	2.726809351797611	0.6601457995413069	-1.4559058501294828	1.6908360243962832	3.9223373286712437	1.6871294186807084	0.14434638225117258	3.1874097593711017	2.4485153291904647	1.43237255903742	2.495437099309118	2.1523454484902285	3.9422200977546416	3.5583908476780284	3.985360204370208	2.0321632425412783	3.834360259212934	5.201077427866075	0.007061299717853409	3.0922359565541697	2.0731454155942766	3.2112551881028617	-0.047793146823875254	4.9533126870996895	4.03781637356494	3.7721251485141316	0.44113554943197997	2.083793748424241	2.865331470952996	1.368511594773672	1.304768505523941	4.30055144037726	3.98796825057323
BIRC7	-0.1876745274446847	-0.8491826808331702	0.7378145202380111	0.9561887970205944	-0.9071564523829849	-0.8641682975880318	-3.9978097404365656	-2.0038905696764644	-0.36082009466137954	-1.7832197097870317	-2.7572348069732637	-2.5042173611626275	1.6992787276734713	-5.124941937667096	0.6451127291231824	-4.717657385328042	-1.9000690311942403	-1.4688835263257456	-0.9529818064039794	-0.3679375195745056	-1.8853929118267274	-2.833111487504631	-3.304046114640805	-2.089937550172902	-6.836752061960755	-0.4502991081801184	-1.8281582879831877	-1.3262872073806893	-2.3534223340854776	-2.115208221217797	-6.188183016214591	-3.084699785921927	-2.734318952001969	-7.772710097033768	0.26300964194223475	0.15786816756769362
TGFB1	5.361558340683196	5.664704725339513	4.5780267033864845	5.010906975028016	4.515290490713825	3.41902594063777	4.419451369754588	5.872191648795495	6.2773770696414495	3.7772715148553715	2.960936660595433	4.850722845632676	4.745313156686521	4.923098482440709	5.646470658794215	5.482042541408429	3.1540846101944204	5.246859546385934	5.1256526479764695	6.386508155820321	4.690419467950113	4.312449567878955	4.926534965885661	4.591472028205182	2.981177511268303	6.958057399102623	5.565479888892604	3.660349257713346	5.934581987003368	5.6438842860985226	5.223711519243615	6.012697240283677	6.212215249253305	4.43968089537775	6.584730054997879	6.3493645960740785
IDO1	3.2573658026542596	1.6445345016463193	2.0186909752321878	3.3193629020760014	3.541046064717534	0.2837640317629848	-0.3185052345421546	0.12527196446762012	5.217399465871342	0.10482157841825313	-2.379171233824959	-1.2096453238335592	4.194445655958736	-1.3079614576324996	1.0247736008722335	-1.2281241874071114	-2.1670358908526737	1.138418206148721	2.110849293045632	1.160843913135464	2.387965763477032	1.6264742426674896	0.16188943482467621	-1.6702169273913903	-3.173637880508391	2.5417616305809965	5.432925580391343	0.9165107032467237	0.25509131021276765	-0.2994738147860563	-2.5827157174496094	-0.32806121431648805	-2.108086377403801	-3.6657379699037023	2.6802531576890587	5.027013450754863
PDCD1LG2	0.8066364634781955	0.016041225085012822	-0.3893628362486008	-0.11133764554857173	-1.1812903961972805	-1.85679222970484	-3.0064863645212694	-0.05164075216988895	0.8607206591422265	-4.2221941710286135	-2.5131972022928992	-2.5342578712040797	0.8488083588103121	-3.1336135979390547	-0.6250785992323933	-1.5704198710602886	-4.252334095815707	-2.0415764358205255	-0.514584280363914	-0.8314953169051367	0.3973156413463963	-2.301624478162727	-2.009923612655682	-1.97386089138785	-4.865832660180506	-0.5739687543654077	0.9702425009536619	-2.264615217470139	-1.189509580156182	-1.1647943030923944	-2.6646275963713055	-1.9053771006704845	-1.1388086621140947	-1.5068730695019337	0.27744837342907003	4.363564369936412
IL10	-2.2653365806529564	-1.8694077759786154	-1.9657582344011608	-1.7649000086444673	-1.2544559816323115	-9.422935647055098	-6.363256333247314	-3.856460636955525	-0.07077217132417246	-4.068842478411447	-3.0766732457252814	-5.10554445984388	-1.8635447761005643	-4.574409933398869	-1.274296938793313	-1.526271939808069	-4.244225895410253	-2.110417437733961	-2.0808891257688344	-1.1163413390134131	-0.7630097343797217	-5.38066301911833	-2.1657892777292815	-2.185162517430559	-6.287849530521825	-1.5546969485627748	-2.0583735066191693	-3.61874609340202	-1.3776425062188942	-1.4476176168256387	-4.4407521895426605	-2.429060350080537	-3.806116944879868	-5.082103057436829	-0.6024554020581725	0.26767963470598843
ARG1	-4.433205638050239	-1.1643127088861682	-4.6805462888372436	-2.475261783776123	-0.4917399222581551	-1.2134031221399475	-2.4782629531444673	4.4782871526474395	-1.3818741079346921	-0.13647874433158336	3.470536260468098	-1.0017724471385243	-3.9636118548751256	0.02668275212622362	-0.9352917264921388	1.8094784090349556	3.8603678260528227	0.06961620481597919	-3.0280748320152213	3.734734048043059	3.7952240652149847	-0.22579789215797774	-1.275698798566708	-2.5109074186946376	-1.959057839231999	-5.624686214309714	6.143876863574636	5.3916649666405085	-2.2029612515187473	-3.9381507802996367	-4.199804332560129	-0.14746047403734153	-5.281931617216733	2.0795059715239894	3.0459301341108294	-0.10111190578108875
CCL2	6.5250419178509205	7.4460508514778425	6.637084744494906	6.49938352784914	7.032102255365018	3.3018010996167106	7.315120121224666	5.154416512396885	4.34927858676398	4.312072879208422	4.062310584881139	4.509995706044435	6.149881687276881	5.881805228322918	7.2503081657151895	7.442074704087403	3.2324743448646487	4.032680195336006	7.637662369561767	8.446840549808691	6.64390830884021	6.596006799101609	5.8000685904368225	8.379874828094959	3.6018501028084913	7.69916567230235	7.7133791457675045	5.2963320748866	5.832025866718816	6.747040607142459	6.150212496284716	6.787537475454627	4.7556940622918304	4.4478366364429505	8.673151559743932	5.195129741534622
