Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2W-A8YY-01	0.0405876862085533	0	0.0539541838907999	0	0.306188736392422	0	0	0	0.00236741194838162	0.168248413725223	0	0.0737197170152148	0	0	0	0.0451451809654724	0.00756388980569592	0.00907734628510515	0	0.25906145975907	0.034085974004062	0	9999	0.0328025430531158	1.11605762981472
TCGA-4J-AA1J-01	0.000655468849160785	0	0.258127305643834	0	0.17907698146283	0.201575746913056	0.0107643359892234	0	0	0.17834380267037	0	0	0	0	0.0312687502452641	0.00286636710389944	0	0	0	0.127871929512564	0	0.0094493116097981	9999	0.0707372973961756	1.10726927995444
TCGA-BI-A0VR-01	0	0.0260517902830397	0.0806199621595063	0	0.169907452646576	0	0	0	0.00221507348378979	0.0361144129395698	0	0.110414918072915	0.030124321280597	0	0	0.0140015150586274	0	0.0108596281548176	0	0.519690925920561	0	0	9999	0.0101666532714768	1.2177823749511
TCGA-BI-A0VS-01	0.162150550604631	0	0.1215199232664	0	0.122018697648603	0.10272718925807	0	0	0.0319181885760232	0.0947073185185558	0	0	0	0	0	0.0335064324478871	0	0.00265530775998935	0	0.32879639191984	0	0	9999	0.0205153934527023	1.13174771918988
TCGA-BI-A20A-01	0.0585554138013884	0	0.324967247527922	0	0.0729171880138565	0.0992697136457085	0	0	0.00727939585640675	0.0565928481225168	0	0.0424055958514543	0	0.0131225279945883	0	0.0706525891637472	0	0	0	0.209767387535013	0.0377974358623384	0.00667265662506002	9999	0.0386250595486492	1.1465113919094
TCGA-C5-A0TN-01	0.0394108134283837	0	0.27180777011693	0	0.298086435001581	0.00772720222534884	0.124635829663138	0	0	0.160147247295669	0.029703210852199	0	0	0	0.0497573524328499	0	0	0	0	0.0180053699530433	0.000718769030857287	0	9999	0.080970245695953	1.10841286999246
TCGA-C5-A1BE-01	0.113503486025786	0	0.229075368118701	0	0.243060108394129	0.0284623341730824	0.048568400197799	0	0.0263587371015864	0.175174627602013	0	0	0	0.0264922933913213	0	0.0337419275406669	0	0.0105830352123639	0	0.0502255961414207	0.0147540861011296	0	9999	0.0462442789745574	1.11349807580827
TCGA-C5-A1BF-01	0	0.0321212907558269	0.144237209086306	0	0.269781891025568	0	0	0	0	0.104815244430068	0	0.0342437955077395	0	0	0.0154960036848333	0.0170057848395905	0.0183747287169623	0	0	0.363924051953105	0	0	9999	0.0273809044373769	1.13602188221839
TCGA-C5-A1BI-01	0	0	0.0896463620977779	0	0.21560689501221	0	0	0	0.0167048048049474	0.0864931880328995	0	0.0633986239634601	0	0.0137978351462341	0	0.0406971882290212	0	0.00838304448074048	0	0.46527205823271	0	0	9999	0.0200960531489475	1.17814473959738
TCGA-C5-A1BJ-01	0	0	0.289542094159806	0	0.116166483222042	0.139321617996868	0.0267546422724637	0	0.0542195395938408	0.110000656918872	0.0194575272253268	0	0	0.0493301527724583	0.0027014322231694	0.0386498909260183	0	0	0	0.150820486635473	0.00303547605366213	0	9999	0.0711666052603817	1.10353164350676
TCGA-C5-A1BK-01	0	0.0367208089249885	0.0556404622485703	0	0.108001628023561	0.0608295443415616	0	0	0.0605804547113173	0.0716347877073162	0.0108806397187395	0	0	0.0463979429989273	0	0.0684015837155406	0	0.0159222005421828	0	0.464989947067295	0	0	9999	0.0171225606179903	1.16309384539617
TCGA-C5-A1BL-01	0	0	0.183849255788371	0	0.14356188653582	0.129108157226275	0.0251445309059235	0	0.0331979478314253	0.136365330221278	0	0	0	0.0580769873152144	0	0.033485760546341	0	0.00887332934700187	0	0.245438685866106	0	0.00289812841624315	9999	0.0398824619882001	1.1016599229825
TCGA-C5-A1BM-01	0	0.00837827034192706	0.0847350902273482	0	0.323883306090324	0	0	0	0	0.0920285577517869	0	0.0343464272649711	0	0.0583017722620596	0	0.05934729692106	0	0.0255087847171606	0	0.313470494423362	0	0	9999	0.044147757004258	1.10727133313004
TCGA-C5-A1BN-01	0.298728235621799	0	0.189369585906057	0	0.17696597137247	0	0	0	0	0.0844619834682837	0	0.0354225151567686	0	0	0.0226868074584226	0.0101781227295833	0.0855885014659696	0	0.0234869308269684	0	0.0731113459936783	0	9999	0.0543726691043683	1.12452190449311
TCGA-C5-A1BQ-01	0	0	0.343013904610773	0	0.0563304275934612	0.170367839755955	0.0320446502778137	0	0.00551678496213772	0.0514703512014628	0.0164299867471584	0	0	0.0615732771711069	0.000837736379185917	0.0372172983811257	0	0.0016683905721253	0	0.223529352347694	0	0	9999	0.0455345374846039	1.1415930130948
TCGA-C5-A1M5-01	0.0135357587008657	0	0.178698228691616	0	0.139215872563439	0.10994267573065	0	0	0	0.133330377220242	0	0	0	0.0457792245273141	0	0.0587085669520937	0	0.00765985028205487	0	0.313129445331724	0	0	9999	0.0285961258640218	1.11884791974264
TCGA-C5-A1M6-01	0.141337402320292	0	0.110849804031982	0	0.0470967496280697	0.116260661058636	0	0.0507683570491573	0	0.213775591673807	0	0.109843022537806	0	0	0.00823673589417094	0.0274206178203109	0	0.00855301475285659	0.150004735690132	0	0	0.0158533075427805	9999	0.00839698689983265	1.12126934096495
TCGA-C5-A1M7-01	0.00776202925301502	0	0.0287752042295406	0	0.338100586032108	0	0	0	0.0184923855305921	0.113641153002362	0	0.0905817575610401	0.0394970090107357	0	0	0	0	0.0164524024963498	0	0.346697472884257	0	0	9999	0.0343890757796214	1.14372238898847
TCGA-C5-A1M8-01	0.0146363864030746	0	0.220814448361275	0	0.140812768634862	0.216265277263477	0.0457105011585716	0	0	0.165954613219505	0	0.00804215632106243	0	0	0.0108146102090132	0.0703744871048986	0.0266059313952214	0	0.0207024820243289	0	0.0592663379047103	0	9999	0.0656217883209192	1.08863330256592
TCGA-C5-A1M9-01	0.25191937117729	0	0.315998443104154	0	0.0699539775333457	0.121816530204152	0.0294331445915178	0	0	0.107857737114443	0	0.00701448805404819	0	0.00785309784426593	0	0.011360317901733	0.0188297466133418	0.0136028239843441	0.0118683135580214	0	0.0324920083193437	0	9999	0.191581127025619	1.09553074635043
TCGA-C5-A1ME-01	0.147911162695129	0	0.0610763863383877	0	0.0579284082175659	0.0198007864095724	0	0.00802956207768582	0.029975905708636	0.0541816676665821	0	0.0256230945621412	0	0	0.0285262540852403	0.0698834208371525	0	0	0	0.443194892347988	0.0538684590539193	0	9999	0.00155786045891283	1.17184315517838
TCGA-C5-A1MF-01	0.101006649882226	0	0.0442609233899101	0	0.0431758569654284	0.107084080879267	0	0	0.00599073875830217	0.0586872047083333	0	0.036848085852246	0	0	0	0.0358036384486801	0	0.00458044945615824	0	0.539788864096989	0.0178079502870271	0.00496555727543237	9999	0.00754404237371062	1.21397543170696
TCGA-C5-A1MH-01	0.0549851593928719	0	0.154924954742781	0	0.0709235287557835	0.0380433778289655	0	0	0	0.0480761494158576	0	0.0596921633146879	0	0.0390281407573607	0	0.110439659295535	0	0.0148790530372753	0	0.393928500369419	0.015079313089462	0	9999	0.0052295311702918	1.15977839876097
TCGA-C5-A1MI-01	0	0	0.0819252746141544	0	0.10730818224414	0.153624362490372	0	0	0.0235850190668377	0.107958623537547	0	0.0156064716009882	0	0.050278162408285	0	0.0888250757695818	0	0.0148802187437857	0	0.341369887972717	0	0.0146387215515908	9999	0.0226217962856591	1.11936589492176
TCGA-C5-A1MJ-01	0.113205364085179	0	0.0216113905090924	0	0.139372455358001	0	0.0941238618614183	0	0	0.116769506305472	0.0480106083422212	0	0	0	0	0.239371705204542	0	0.104320690297311	0	0.0715972710142017	0.0516171470225607	0	9999	0.000606113565444665	1.07297278880992
TCGA-C5-A1MK-01	0	0	0.286773163202671	0	0.396602079006467	0	0.0610411522240275	0	0	0.191419831835231	0	0	0	0	0.0287885699335874	0	0	0	0	0	0.0353752037980168	0	9999	0.0666345755724413	1.12579247911677
