Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-3X-AAV9-01	0.0881050831648653	0	0.0203950316106886	0	0.0647014351582015	0.0403698944656359	0	0.00210048562945547	0	0.0508210430644844	0	0.05785708655227	0	0	0	0.0195809570948975	0	0.0107059239645874	0	0.645363059294914	0	0	9999	0.00270774280110693	1.28377434441697
TCGA-3X-AAVA-01	0.343638505790403	0	0.0248561089825557	0	0.0191367118963488	0.157559187358868	0	0	0.0524828896887974	0.111802951180311	0	0.00135065462010528	0	0.0246997610738465	0	0.0984507368533576	0	0.068485344899949	0	0.0959980358708586	0.00153911178459958	0	9999	0.00381377297197959	1.11267785317666
TCGA-3X-AAVB-01	0.207247346504905	0	0.0200655712670088	0	0.13131296154536	0.176104804011735	0	0.0241732631435623	0	0.0954925245678412	0.00325013009129268	0	0	0	0.000196563085511115	0.115987562397052	0	0.0321546725216216	0	0.155500315294908	0.0385142855692016	0	9999	0.0312605778334576	1.08447987553899
TCGA-3X-AAVC-01	0.00909901766862809	0	0.00494686855225533	0	0.196233173179152	0.0895611235363824	0	0	0.00232984609096112	0.162116846552282	0	0.0242700455869309	0	0	0.00311673383841458	0.0770640883536918	0	0.00186745898822651	0	0.391997726368519	0.0373970712845573	0	9999	0.0229642856032044	1.14896790788902
TCGA-3X-AAVE-01	0.278107152504486	0	0	0	0.082189465601618	0.0442821763749132	0.00937843490143073	0	0.0673622678913717	0.0600635715517387	0.0320199867657286	0	0	0.166195078066879	0	0.105195308066347	0	0.00980214413743209	0	0.124919130850157	0.0204852832878983	0	9999	0.00674915624121228	1.0960401370074
TCGA-4G-AAZO-01	0.141446762232027	0	0.0959323048164261	0	0.0976868494399679	0.0856333306634292	0.0141041500977962	0.00491241710637186	0	0	0.0678214336929046	0	0.126690394710001	0	0	0.0531263051131734	0	0.289095477892477	0.0235505742354255	0	0	0	9999	0.0511234297286276	1.07510338177311
TCGA-4G-AAZT-01	0.0721794223154008	0	0.0323788575905132	0	0.00467698859553729	0.036945466982261	0	0	0.0710626476164336	0	0.00626072681489843	0.00670156991298649	0	0.00940551712984621	0.0198185230196246	0.31185784116455	0	0.0463781858992967	0	0.151777434170807	0.101415303528603	0.129141515259242	9999	-0.0143745959290855	1.09898586742834
TCGA-W5-AA2G-01	0.168803942098964	0	0.0162499608630038	0	0.10482558439225	0.184169774128385	0	0.0101250246801061	0.050943222590846	0.173902749636035	0	0	0	0	0.0599156976650522	0.0783444878893406	0	0	0	0.0844048839196313	0.068314672136386	0	9999	0.00859387066137722	1.09688316396186
TCGA-W5-AA2H-01	0	0.117838420452429	0	0	0.118687095739767	0	0	0.00841947441312457	0.0417974551113546	0.0678686546107951	0	0.00916580689830043	0	0.0364576768867821	0	0.070813446496571	0	0.00399795026550292	0	0.524954019125374	0	0	9999	0.0114899567670923	1.19668798530375
TCGA-W5-AA2I-01	0.217055125505392	0	0.00443701615215273	0	0	0.188898820746542	0.00107773629635262	0.126122050134541	0	0	0.0463023104550508	0	0	0.0375768441577048	0.00342338946181165	0.15263558218391	0	0.0204200659208688	0	0	0.0931024437068641	0.108948615278809	9999	-0.0460963840753562	1.10731114286324
