Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-FA-8693-01	0	0.0185208866028138	0.00867909170860648	0	0.0370591178847469	0.0801925533072672	0	0.00517638531450192	0.0115155681714867	0.0370110106516096	0	0.0370965609109032	0	0	0	0	0.00328701213898179	0.00628929125319809	0	0.749305698298622	0.00586682375726225	0	9999	0.0277923365762612	1.33056790722044
TCGA-FA-A4BB-01	0	0.0447132243026642	0.000294180974115067	0	0.0609790788362238	0.0258363149230516	0	0	0	0.00848914773434918	0	0.013528955039574	0	0.0408039287377745	0	0.156551540744803	0	0.00711602824381709	0	0.621728421662378	0	0.0199591788012492	9999	0.0187057027684641	1.2534752895925
TCGA-FA-A4XK-01	0.0759528470202322	0	0	0	0	0.149081555652806	0.0232113619237113	0	0.0403500777068888	0.00585777772802287	0	0.301546940631192	0.0249544470503556	0	0.0085409682123278	0	0	0	0	0.363466485869761	0.00703753820470241	0	9999	0.0915370646816108	1.18140472915015
TCGA-FA-A6HN-01	0	0.0305022363771388	0.000602965986304641	0	0.0794910081933372	0.152325350352639	0	0	0.0239588818344431	0.0595534525618775	0	0	0	0.174315736466659	0	0.129121793575394	0	0.0285626426125431	0	0.313239329906416	0	0.00832660213324802	9999	0.0258141017975322	1.11447443302068
TCGA-FA-A6HO-01	0	0.0563500740043401	0	0	0	0.016986925574701	0	0	0.038071942762846	0.0246210631845679	0	0.0283978857383237	0	0.0328130584430117	0	0.0528145761074681	0	0.00403138534371469	0	0.732894520768918	0.0130185680721091	0	9999	0.00278560000689244	1.33743002753718
TCGA-FA-A7DS-01	0	0.124064747445175	0	0	0	0.0857321049858847	0.043671973665748	0	0.0562452070847367	0.0875288270186415	0	0	0	0.062109598074312	0.0105318210743655	0.119699384961388	0	0	0	0.410416335689748	0	0	9999	-0.002538445132823	1.15190824968311
TCGA-FA-A7Q1-01	0	0.0775000646041124	0	0	0.103081090338005	0	0	0	0.0781912905400466	0.235475566932644	0	0.0523671884534917	0	0	0.00241508450754621	0.0229940943507075	0	0	0	0.427975620273446	0	0	9999	0.0608608006890851	1.15694058373136
TCGA-FA-A82F-01	0	0.0504635411273729	0	0	0	0.164461965770788	0	0.0377142223481476	0	0.00884663507675439	0	0.0563617864803006	0.0107146276813406	0	0.00488698648594789	0.0789964922846979	0	0	0	0.587404047519269	0.000149695225381075	0	9999	0.00468331203363368	1.24353873468618
TCGA-FA-A86F-01	0	0.120951770578144	0	0	0.0101462020054438	0.0725144524219951	0	0	0.0762009376421744	0.0886376768122549	0	0	0	0.112772733917849	0	0.0418089191162596	0	0	0	0.374106008673721	0.102861298832159	0	9999	0.0171859370283067	1.13212650830558
TCGA-FF-8041-01	0	0.0422881814128884	0	0	0.0335576194364275	0.0274948465619544	0	0	0.0135496576059456	0.0788206916363265	0	0.0401904005828979	0.0110977692644888	0	0	0.0330741880824396	0	0.0159568234991158	0	0.701580965424622	0.00238885649289354	0	9999	0.0345376604693411	1.29712922704459
