Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-4P-AA8J-01	0.118328972126783	0	0.114809868906804	0	0.170471079313621	0	0	0	0	0.0640577189166199	0	0.0488214889513042	0.00158993602691295	0	0.0125928635140259	0.00571345625795209	0	0.00362256273158003	0	0.459992053254398	0	0	9999	0.0118293603950975	1.18428724854246
TCGA-BA-4074-01	0.0258544536931704	0.0142359623342477	0.00536614751971054	0	0.0886375379773672	0.078300796013847	0	0	0.0150578408608392	0.0559173010819933	0	0.00469991158024549	0.490469814431493	0	0	0	0	0.0832689354094229	0	0.138191299097663	0	0	9999	0.0375800743184839	1.09407965480187
TCGA-BA-4075-01	0.0930933091779863	0	0.070798138167696	0	0.13779689613501	0.0430653256620206	0.107015687923617	0	0	0.0395969567216347	0.0352571173702604	0	0.388314851386534	0.0103885091173699	0.0249660925220401	0	0.00362415131407111	0	0.0151085121764403	0	0.0309744523253199	0	9999	-0.0124155674318961	1.09437529714359
TCGA-BA-4076-01	0.0923265264512163	0	0.10264386145213	0	0.280108158106153	0	0	0	0.0580798631457914	0.283724226305117	0	0.00933840021587388	0	0	0.0506681368598964	0	0.0249210306084474	0	0.049969530938308	0	0.0482202659170661	0	9999	0.0504931068921016	1.09801195158428
TCGA-BA-4077-01	0.0452649136766314	0	0.311698203813397	0	0.201201330519362	0	0.096357119900844	0	0.0035080528484927	0.0862482980826412	0.043744604901423	0	0	0	0.026478908916521	0.00611099641482704	0	0	0	0.17938757092586	0	0	9999	0.0611817533060169	1.12636646972116
TCGA-BA-4078-01	0	0	0.157149304246782	0	0.386209146713641	0	0	0	0.0197528658238837	0.123140946049423	0.0242038675742773	0	0	0.0274802315979936	0.0113410000168627	0.0225083839591678	0.0460441191875413	0.000866580499562055	0	0.171951467814468	0.00935208651639699	0	9999	0.0525590276554331	1.08848653106898
TCGA-BA-5149-01	0.162688977369263	0	0.159840177142188	0	0.394852813818815	0	0.0364470030251292	0	0.0151614901798809	0.142950077548512	0	0.022503186127142	0	0.00672393551970034	0.0080957023721749	0	0.01209666563457	0.0047499312853294	0.0128446019710943	0	0.0210454380062014	0	9999	0.0524758279408407	1.1157579884784
TCGA-BA-5151-01	0	0.0219046400226671	0.101286681160524	0	0.458283908720083	0	0	0	0	0.127073886021829	0	0.0678570162559637	0.0739127161055245	0	0	0	0	0.101349211452092	0	0.0483319402613171	0	0	9999	0.0574737049617881	1.09285405175248
TCGA-BA-5152-01	0.147371284814222	0	0.0687615574465157	0	0.149906381593368	0	0	0	0.0494004138410939	0	0.107710466255335	0	0	0.0397928318734031	0	0.0152957382401611	0	0	0	0.363887066113807	0.0578742598220951	0	9999	0.0109619148871152	1.13638843980769
TCGA-BA-5153-01	0.0797297735867917	0	0.149042125610035	0	0.0424495398613376	0.0781358614738406	0	0	0.00755248943342887	0.0497461709960683	0	0.0576888943435259	0	0.0371395176205361	0.00327883745335224	0.0381989990559708	0.00282555467395474	0	0	0.428218743889781	0.025993492001378	0	9999	0.0037914301070965	1.17689890122599
TCGA-BA-5555-01	0.0685965340117119	0	0.160052329488551	0	0.337771259665677	0	0.00398515336191925	0	0.00362159377886833	0.154105793324863	0	0.0131647108610929	0	0	0	0.0240002600282071	0	0.0622861055794903	0	0.152503572241903	0.0199126876577168	0	9999	0.0466789638026482	1.09405300937414
TCGA-BA-5556-01	0.137069058513473	0	0.0924568259959051	0	0.112712950655296	0	0.072547914472442	0	0.0775578820327549	0.0451995437399049	0.0280726574146088	0	0	0.135635350720853	0.00666863376627466	0.0459159048802635	0	0	0	0.246163277808224	0	0	9999	0.0144909430878292	1.10162182411233
TCGA-BA-5557-01	0.0168011900215853	0	0.105602639088857	0.0717119985606145	0.168493897306895	0	0	0	0	0	0.039915855281705	0	0.471928174862399	0	0.0429305878006284	0	0	0	0	0.0826156570773166	0	0	9999	0.0149263182744435	1.09940202304062
TCGA-BA-5558-01	0.079437208650356	0	0.222477571731996	0.0293085611250515	0.376133824793717	0	0.0478492579141652	0	0	0.0887448037245631	0	0.0230928269654844	0.0695076374008973	0	0	0	0	0.0455489790325227	0	0.0178993286612465	0	0	9999	0.0491013603861862	1.11210849766177
TCGA-BA-5559-01	0	0.0461198853426827	0.122921290482938	0	0.0760011949369177	0.0458648150845777	0	0	0.0353848374552009	0.0662900165275922	0	0.00737758015385455	0.0170142160003029	0.0274931124300826	0	0.0132220574523165	0	0.0175514509641507	0	0.524759543169383	0	0	9999	0.00946988174670712	1.20063044312999
TCGA-BA-6868-01	0.327221678612293	0	0.0874960775690997	0	0.317264755107495	0	0	0	0	0.0645988454285679	0	0.0639394063487744	0	0.00678862071113969	0.0149936188944405	0.00140293935670828	0	0	0.0445012343956642	0	0.071792823575817	0	9999	0.0430015304473046	1.12137387482857
