Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-AB-2803-03	0.24477445479698	0	0.00619269954793121	0	0.0154996261904062	0.119644276908249	0	0.0307370433544042	0.00729502876713949	0	0.0879235459950163	0	0.130620964652448	0.0105592991030246	0.00156347273110369	0.00255773578983382	0	0	0.2603487752641	0.0436168085466011	0	0.0386662683527632	9999	0.130582065910889	1.04403989246086
TCGA-AB-2805-03	0.064487419555901	0.0305950098060892	0	0.054375243546951	0.0342146233278871	0	0.0235112325883796	0	0.0247166593465052	0	0.054175458258782	0	0.665870245456557	0	0.00279067700382485	0.0212463394397037	0.00274417054252498	0	0	0.00862206968219979	0.0126508514446948	0	9999	0.31656406107989	0.98082706454765
TCGA-AB-2806-03	0.285194675946426	0	0.07415881999683	0	0	0.242388138418532	0	0.0292257274081893	0.0125494887255877	0	0.065187848629988	0	0.0877985985337446	0	0	0.0175944205909497	0	0	0.155689024085296	0.00532791553446664	0.0174032210379211	0.00748212109206887	9999	0.33432589108003	0.953285272860397
TCGA-AB-2808-03	0.377294622618628	0	0.0188539828741293	0.0160105919344069	0.0557055544462663	0	0	0	0.00861751403538688	0.0225879794577632	0.0214391299208988	0	0.224461870689744	0.0706291421224434	0	0.0149310766479683	0	0.00175451195970153	0.153170206997693	0.000509520851245482	0	0.0140342954437247	9999	0.425361897417793	0.907493623659369
TCGA-AB-2810-03	0.110206863904247	0	0.0331000291205571	0.113602067176032	0.0319450641673234	0.0358211305551961	0	0.00208262283647246	0.0306499982161987	0	0	0.0802350705668992	0.294103990132365	0.0590640104047032	0	0	0	0	0.0726807477563377	0.10434601927775	0	0.0321623858859186	9999	0.166800051904936	1.02339501776538
TCGA-AB-2811-03	0.165060239438648	0.0549543547259326	0.0156678615677256	0.128597847730353	0	0	0	0	0.0475425995584772	0	0.0620754598344518	0	0.367163226866527	0	0.00176419779556001	0.0801010280593323	0	0	0.0129954519228937	0.0516637764071046	0.012413956092995	0	9999	0.262029889556251	0.983449081077083
TCGA-AB-2812-03	0.354371326911896	0	0.0118619870096322	0.155429239828688	0	0	0	0.00181811085246743	0.0197420907004271	0	0.0324156763602388	0	0.186812652549326	0	0	0.0028319038152143	0	0	0.0443990005151689	0.0215503383747485	0.168767673082194	0	9999	0.128875229515633	1.05702965651735
TCGA-AB-2813-03	0.180398519457225	0	0.113563997116488	0.0334485110698462	0.0226793683604951	0.00335091617115511	0.0255436243343846	0	0.00259127345152423	0.00685711304672065	0.0203291241194185	0	0.505192266142614	0	0	0.019351181452491	0.00291409988277837	0.000848761755402257	0.0430813475282902	0	0.00674900282122466	0.0131008932899416	9999	0.330914290702298	0.964234174171356
TCGA-AB-2814-03	0.16485114873011	0.0587508568434914	0.0245221764018642	0.10387358832497	0	0.168235428602312	0	0.0569333320818735	0.00748264101086235	0	0.178477614858301	0	0.116671698970468	0.0466140641983577	0.00418581386639687	0	0	0	0	0.0170864537307171	0.0453242359053379	0.00699094647493748	9999	0.215695510313783	1.01027104195893
TCGA-AB-2815-03	0.0174722513971959	0.142460778208629	0	0.0532042532799353	0.0652886382301214	0	0.0177113666271046	0.0103116964214171	0.000309729460728173	0	0.0687657204637543	0	0.537604739454049	0	0.0119615979793185	0.0213143469320323	0.014075416805032	0	0.0240545429460617	0.0119527656250603	0.00351215616956089	0	9999	0.324038260379606	0.961324179764532
TCGA-AB-2816-03	0.109462283002736	0	0	0.187275526125783	0.0149429120499387	0	0.0198969831255702	0	0.0225917855766039	0	0	0	0.582328691212642	0	0.00257661888229513	0.0129435325675827	0	0	0	0.0191833236898869	0.00946969923618746	0.0193286445307736	9999	0.30612486101537	0.978490101576664
TCGA-AB-2817-03	0.348020066468396	0.0296029723428123	0.025942472385499	0.19782365605652	0	0	0	0.0199022056588274	0.077652580909224	0	0	0.0776779443540364	0.0733885308758954	0	0	0.0249342842228087	0	0	0.0943494042630439	0	0.0243644182267283	0.00634146423620842	9999	0.471261009743183	0.883451476073902
TCGA-AB-2818-03	0.154433719712701	0	0	0.0332151416150074	0.015357036243916	0.0396425332995654	0.0176275542529641	0	0.0152041197961084	0	0.0298955326825528	0	0.570644789881608	0.0189005983240951	0.00965382460453197	0.0185604521228192	0	0	0.00893824575165102	0	0	0.0679264517124795	9999	0.299100317071059	0.986806775713615
TCGA-AB-2819-03	0.273831181453099	0.0319154882534968	0	0.150152385196829	0	0.101793443659134	0	0.0872204154647004	0	0	0	0.0249362207577575	0.0788064950695024	0	0.00514314919317088	0.114937332822746	0	0	0.0954401594581994	0	0.0307985607700878	0.0050251679012764	9999	0.343799221910695	0.945266791155023
TCGA-AB-2820-03	0.0980030372754686	0.174308194761437	0.103685522883449	0.0619713117404174	0.208749147868041	0	0.0265905471548123	0	0.022585055440696	0	0.232850623083983	0	0.0180212264482319	0	0.000990768435211217	0.00804168756642008	0	0	0.0422680774576551	0	0.00193479988417824	0	9999	0.326121438910794	0.969910399472871
TCGA-AB-2821-03	0.29204469717367	0	0.143286935192091	0.102887318020102	0.141534298762299	0	0	0.00908665034505184	0.015302644854707	0	0.084852580697161	0	0.162825381831707	0.013147424783349	0.00525484450423475	0.00211870413586378	0	0	0.00615547783904149	0	0	0.021503041860722	9999	0.49306661225952	0.870929905008598
TCGA-AB-2822-03	0.229221923708692	0	0.191271921566068	0.0349951724222734	0.208659011723733	0.0592955979066867	0	0.017657912470912	0.00560701886699058	0	0.118728922495616	0	0.00709605931944224	0	0.0257584045456435	0.0204989883636477	0	0	0.0370452748729668	0	0.0366740985569723	0.00748969318035466	9999	0.316451031587319	0.977959005895633
TCGA-AB-2823-03	0.159238534398427	0	0	0.247850891652319	0.0331372752660524	0	0	0.0226456030816529	0.0156219898015673	0	0.0951014640527662	0	0.0774967950689514	0	0	0.0664185192219443	0	0	0.0863381815926573	0	0.0987725442320068	0.0973782016316545	9999	0.0480660798218477	1.07186512046302
