Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-18-3407-01	0	0.058697790771026	0.0530558637379051	0	0.276051980725336	0	0	0	0	0.105717287923479	0	0.102431175548809	0.0183764648087299	0	0	0	0	0.0153989515029252	0	0.370270484981789	0	0	9999	0.026252822105882	1.15166328843968
TCGA-18-3408-01	0	0.15238406698079	0.0643765891626795	0	0.068035454194418	0.106818547735966	0.136018153323301	0	0	0.0534698710088764	0	0.0334927424126512	0	0.0917830162032142	0.0590982336646868	0.0159112534799642	0	0	0	0.188271591854064	0.0303404799793883	0	9999	0.0149657254612605	1.08867299233317
TCGA-18-3409-01	0.00210453122488215	0	0.0231749511921717	0	0.235799824836522	0.127696741012641	0.0313578715967646	0	0	0.146619445477535	0	0	0.113807160657492	0	0	0.00233756904227027	0.00881888013246052	0.0252538885483955	0	0.283029136278866	0	0	9999	0.0326829438826518	1.10731066792711
TCGA-18-3410-01	0	0.0654346579156447	0	0	0.0222958428132926	0.123232754681336	0.00921590504466621	0.00301452032105296	0.0477142000055172	0.136582053163919	0	0.0343581823330411	0.0719314090085866	0	0	0.00724757389282237	0	0.0461303170923168	0	0.432842583727804	0	0	9999	0.00515410314780103	1.16667660094761
TCGA-18-3411-01	0	0.0564156340151476	0.0257017516974587	0.0251608741788414	0.455885369376729	0	0	0	0	0.0263228495133043	0	0.113362309193213	0.0337074010509628	0	0	0	0.0147718184897491	0.000539695709262514	0	0.235745414140402	0.0123868826349294	0	9999	0.0521780438419407	1.11523303700309
TCGA-18-3412-01	0	0.0819984659927118	0.0877146043765955	0	0.290923102928471	0.133857493272041	0	0	0	0.216311988542356	0	0.0161177765839147	0	0	0	0.0146973703367677	0.00479111725622087	0.00611041688912411	0	0.147477663821797	0	0	9999	0.0498452754165788	1.10478727339401
TCGA-18-3414-01	0.212355919830866	0	0.101481018893005	0	0.122800052924821	0.190043982156293	0	0	0	0.129785132335773	0	0.00876196378127074	0.0164599265999016	0.00600698691792414	0	0	0	0.0131165451908455	0	0.199188471369301	0	0	9999	0.0279375440941563	1.11394376929669
TCGA-18-3415-01	0.028213002777775	0.031266598699581	0.0387220376551568	0	0.117036038553941	0	0	0	0.0200843847312024	0.0201997107504413	0	0.0138614022196547	0.0955785056679103	0.0353468091598856	0	0	0	0.0304600112580542	0	0.569231498526397	0	0	9999	0.0040035706256863	1.2221861518792
TCGA-18-3416-01	0	0.1510732954317	0.0389624006233904	0	0.0955594015158373	0	0	0	0	0.0573137862980868	0.000848442324396017	0	0	0	0.0159388897517707	0	0.0172353957618798	0	0	0.594788868052201	0.0282795202407377	0	9999	0.00263834810723207	1.24012376179282
TCGA-18-3417-01	0.06888613526686	0	0.0200305920078922	0	0.167874585021677	0	0	0	0.00437424645644259	0.0486109337214144	0	0.0560461206721404	0.241096510484561	0	0	0	0	0.0103168532918137	0	0.368436773890117	0.0143272491870817	0	9999	0.0101938720414576	1.13807121787858
