Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2J-AAB1-01	0.0945850318367805	0	0.0233703979965267	0	0.117901980709785	0.137888241445472	0	0	0.00544391181305481	0.0659110739141097	0	0.017076703335526	0	0.0140293222176789	0	0.148903648317194	0	0.0768084970640242	0	0.143247416338292	0.13991024737302	0.0149235276385366	9999	0.026460596905103	1.06971766817218
TCGA-2J-AAB4-01	0.0188824992539969	0	0.0412994889117742	0	0.235312286137696	0.12462691861965	0	0	0	0.0314638457947941	0	0.0658255328639718	0	0	0	0.23128857077234	0	0.0710924447991114	0	0.0423112217659592	0.137897191080706	0	9999	0.0294881747320892	1.07145396784484
TCGA-2J-AAB6-01	0.299432471703572	0	0.0403342101282414	0	0.294956479905229	0	0	0	0	0.157694292716842	0	0.0493815403233989	0.00746053596158316	0	0.00243519877715736	0	0.00831014915783893	0	0	0.015699075065675	0.124296046260462	0	9999	0.0345137657855725	1.11591704517882
TCGA-2J-AAB8-01	0	0.0238526319931556	0.0178657399015992	0	0.127739687940271	0.175733155451494	0	0	0	0.0317190803310762	0	0.0571416453127538	0.19869198585816	0	0	0	0	0.0547498272002983	0	0.306347215713351	0.00615903029784166	0	9999	0.0241570543408998	1.11035472922987
TCGA-2J-AAB9-01	0.267043499764697	0	0.0172174330548391	0	0.0285522023810496	0.0868238887362183	0	0.00268674911241198	0	0.0175976656703161	0	0.0958437706272782	0	0.0959236452371501	0.00851628506601221	0.0766481175795842	0	0	0	0.252285189059439	0.0508615537110042	0	9999	-0.00371282752867354	1.13089719382449
TCGA-2J-AABA-01	0.177625862866483	0	0.0256542246238289	0	0.0376666470883411	0.0964647699238713	0	0.0627782968434687	0	0.0744871051528575	0	0.103580881624641	0.0540987839566963	0	0	0.00311402782288061	0	0.0602151616190699	0	0.266096013945611	0.0382182245322502	0	9999	0.00360419196339826	1.1251214333422
TCGA-2J-AABE-01	0.169001354767854	0	0.0250078544024288	0	0.123803355825181	0.181064055883462	0	0	0	0.134286693436412	0	0.0435055523447603	0	0	0.0745890675578324	0.0754437535556145	0.0025969755294847	0	0	0.107911897440108	0.0497463095856347	0.0130431296712266	9999	0.0218661638568362	1.09163004978072
TCGA-2J-AABF-01	0.25964093533416	0	0.0381016524071962	0	0.116195532072288	0.165445496894711	0	0.0342589812093099	0	0	0	0.0951717086109799	0	0	0	0.0785483391128796	0	0.0734306271655176	0	0.138730086976399	0	0.000476640216558344	9999	0.0206428941155369	1.10393926389643
TCGA-2J-AABH-01	0.245285220027394	0	0.0272435298350669	0	0.201958387107983	0.112799660570116	0	0.00987148375935887	0	0	0	0.0947100157211746	0	0	0	0.0674860254404049	0	0.117328874530649	0	0.123316803007852	0	0	9999	0.0238808351323166	1.09957355917041
TCGA-2J-AABI-01	0.292372149603626	0	0.0209242722058761	0	0.0397401508863098	0.113561057746242	0	0	0.0351252678794742	0.121917876956635	0	0.0180676325803845	0	0.0499402628113531	0	0.0405079138373275	0	0.000142970916227033	0	0.267700444576546	0	0	9999	0.00515942847152014	1.13026492823019
