Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-3N-A9WB-06	0	0.0460932705134443	0.0225567851975803	0.0815704897400971	0	0.0345662456206326	0	0.148312568473075	0	0	0	0.088912550468955	0	0.109970421299238	0	0.277435552881345	0	0.0862185992392983	0.0691323502768088	0	0	0.0352311662895264	9999	-0.0343608750672236	1.0926829011714
TCGA-3N-A9WC-06	0.0370834754438303	0	0.0162452727816645	0.294501195975251	0	0.0942801121124121	0.0208094552136692	0.199294031246686	0.0624128297860403	0	0	0.0413163642500406	0.0167222273790231	0.0583064140512882	0.0376418432571108	0.0592320591610612	0	0	0.0407548630568361	0	0	0.0213998562850865	9999	0.0804885943056106	1.09099197843543
TCGA-3N-A9WD-06	0.0982251811077312	0.143832538765959	0.148922388853948	0.168943092842207	0	0	0	0.0959123935429757	0.099860680166201	0.0146634273387128	0.0370227282425242	0	0	0.0388314550455309	0.0567898780433785	0.0228432006202239	0.0261628683640152	0.0151710483006962	0	0.0253769662018574	0	0.00744215256403941	9999	0.459161566606981	0.890140521595709
TCGA-BF-AAP0-06	0.197886350601291	0	0.0662223630239963	0.130313662614451	0	0.109607437345106	0	0.110809072334284	0.0655170692048459	0	0	0.100387867718328	0	0.0434312401487522	0.0431775622417425	0.0433694221852881	0	0.00591091170660474	0.0573779703593975	0	0	0.0259890705159139	9999	0.298222762407126	0.972371685198439
TCGA-D3-A1Q1-06	0.00818931752283953	0.0317987304116832	0	0.118371483183298	0	0	0	0.109726218484063	0.00460387187138742	0	0.153364198527202	0	0.123171218725132	0.152055143397448	0.00980171450856535	0.0781885719547952	0	0	0.108750192650637	0	0.101979338762949	0	9999	0.00296309267920735	1.07761398540129
TCGA-D3-A1Q3-06	0.131342670367552	0.0483229319018694	0.0646210067316724	0.112889067472439	0	0.225113880145039	0	0.102473028257154	0.0798874561180338	0	0.0122666052006633	0	0	0.0643726125137136	0.0478246950589817	0.0684179821143081	0.00784576006150463	0	0.0107501516012202	0	0	0.0238721524558477	9999	0.279783590064926	0.980948049880282
TCGA-D3-A1Q4-06	0.360974780704911	0	0.276973601617243	0.0542747370019609	0	0.025975053947682	0	0.0337994125148304	0.0237147665408254	0	0	0.0440063366054741	0	0.0234084561540654	0.00990476602468613	0.099311740593071	0	0.000855811018228342	0.0158192382415797	0	0	0.0309812990354422	9999	0.530816190883092	0.864222549336608
TCGA-D3-A1Q5-06	0	0.0446639994904101	0.0829547248203191	0.0217823833416932	0	0	0	0.153952733320627	0.00319047763702929	0.0330513013219807	0.0382335994513229	0.0142773537492396	0	0.21564991476399	0.181068535143749	0.125113742172197	0.000976902131859825	0	0.0630161387457323	0	0	0.0220681939098496	9999	0.048079103156303	1.08125042046219
TCGA-D3-A1Q6-06	0.0107521002235154	0	0.0224373330560392	0.195967012233148	0	0.128482899779158	0	0	0.00633704802332406	0	0.0517002585486864	0	0.158493324116435	0.0949244634090649	0.0373155940741765	0	0.00115348572034826	0.195282902149471	0.0220742215270207	0	0	0.0750793571396128	9999	0.09724911524836	1.05391648166363
TCGA-D3-A1Q7-06	0.0945551165480682	0	0.0116945226586666	0.218511571792724	0	0.0204220400238459	0.0689843223322249	0.193677137773564	0.060920735262959	0	0.0564572340251536	0	0	0.137167989687073	0.0874676496272771	0.043891482725117	0.00170022909700371	0	0	0	0	0.00454996844632321	9999	0.150820498744058	1.04239303803035
TCGA-D3-A1Q8-06	0.298486808404522	0	0.0588357694111109	0.184427093682085	0	0.00274779756941057	0	0.0270387075814162	0.036952356492914	0	0	0.0660702366082994	0.0260101101362411	0	0.0100681529173847	0.143897927684807	0.0095694029219084	0	0.0732402316966589	0	0.0340133517337366	0.0286420531595055	9999	0.408451567905136	0.914720163693725
TCGA-D3-A1Q9-06	0.0813215322466729	0	0.114238363088895	0.140995225250053	0	0.159098529938154	0.0226105874250139	0.147000107448647	0.0496563232671225	0	0.0548401320900296	0	0.00681597342392458	0.0041108123382882	0.031505339601852	0.120181046570579	0	0.0217551971826721	0	0.0330702636512605	0	0.0128005664768351	9999	0.241509737603271	0.996964029573271
TCGA-D3-A1QA-06	0.0710433224311208	0	0.0096290154051363	0.322448235690482	0	0	0	0.160089393047111	0.000686802475155971	0	0.0197134878694654	0.0479627557530356	0.0717158241349278	0.0300255482844086	0.0715587077245785	0.167344754609132	0	0.000342380601966491	0.0274397719734803	0	0	0	9999	0.0804677236158706	1.06827668526901
TCGA-D3-A1QB-06	0.0614784340185157	0	0.0575053819129941	0.284539941001967	0	0.0492143825787365	0.0683756030904047	0.166051963236752	0.0609321028348007	0	0.0845023517941278	0	0.0093486484334704	0.0240913739920999	0.0738572149544109	0.0418989507773403	0.000109534978952456	0	0.00393941664933729	0	0	0.0141546997460904	9999	0.15466709125672	1.053803519718
TCGA-D3-A2J6-06	0	0.0414931691513682	0	0.255353351792685	0	0.0273508367658204	0.213421306168112	0.0886314551009926	0	0	0	0.0824734707188672	0.0131451038407558	0.0999174363985575	0.00743822438902699	0.0372005611430008	0	0.0195368944329789	0.109990959234386	0	0	0.00404723086344787	9999	0.0235357421671305	1.09021055639989
TCGA-D3-A2J7-06	0.0720360930636632	0	0.0507571701808696	0.182798697101871	0	0.109303429188927	0	0.224290636871859	0.0184356019192559	0	0.00279251867478255	0.0181289321813479	0	0.113723009763095	0.0675571795579284	0.0458428188181482	0	0	0.0471014120128655	0	0	0.0472325006653872	9999	0.156848272664573	1.03484835325758
TCGA-D3-A2J8-06	0.0476997411882298	0	0.0248746724430534	0.274321076250267	0	0.110658852578255	0.101566083213287	0.0598153034775036	0.01099536747556	0	0.0164856315311843	0	0	0.139943311152898	0.0971660791149091	0.0642503198331757	0	0	0.0441302095373112	0	0	0.00809335220436561	9999	0.111853022500113	1.05032520873614
TCGA-D3-A2J9-06	0.0694093409372193	0.0304200819039635	0.0510257946024955	0.292979533777325	0	0.0474562447913369	0.00368617126094767	0.187379661574651	0.044253085832519	0	0.0248786978984411	0.0012071972145321	0	0.12335388382573	0.0978911054493266	0	0	0	0.02553863712032	0	0	0.000520563811192282	9999	0.203878245203995	1.02515404020881
TCGA-D3-A2JA-06	0.0916051737898914	0	0	0.218830105859882	0	0.0750024133451093	0	0.101362097643114	0.0111989360301689	0	0.0634123282206652	0	0.0349152028672804	0.0975361458910936	0.0672008590607356	0.211424075454726	0	0	0.00410527475424265	0.0054303096511532	0	0.0179770774319384	9999	0.291746671393805	0.966842600564073
TCGA-D3-A2JB-06	0.154771545307665	0.204509994175312	0.105099063358963	0.0952078370569114	0.0370824970028606	0.0621538442357205	0	0.0999532910069603	0.0418311087307853	0	0.00166068378083121	0	0	0.0902810780817363	0.0598792443153315	0.00581986834818145	0	0	0.0239057631650812	0	0	0.0178441814336599	9999	0.489148727220227	0.87328031229119
TCGA-D3-A2JC-06	0	0	0.178412074737365	0.228422370842749	0	0.0366744228542715	0.010448309608158	0.0675715586620116	0.0949738914272211	0	0	0.0356210647365731	0	0.121511311721089	0.0779484461907373	0.10783845436965	0	0	0	0	0	0.0405780948501743	9999	0.268910266105863	0.984265099773101
