transcript_id	gene_id	TCGA-3X-AAVB-01	TCGA-W5-AA2W-01	TCGA-WD-A7RX-01	TCGA-W5-AA2H-01	TCGA-W5-AA2U-01	TCGA-W5-AA2T-01	TCGA-W5-AA2O-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA2I-01	TCGA-ZU-A8S4-11	TCGA-3X-AAVE-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA33-01	TCGA-W5-AA2X-01	TCGA-W5-AA38-01	TCGA-W5-AA2U-11	TCGA-4G-AAZT-01	TCGA-YR-A95A-01	TCGA-W5-AA31-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-W5-AA2X-11	TCGA-W5-AA39-01	TCGA-W5-AA2Z-01	TCGA-3X-AAVA-01	TCGA-W5-AA2R-11	TCGA-ZH-A8Y8-01	TCGA-ZD-A8I3-01	TCGA-W5-AA2R-01	TCGA-W5-AA34-01	TCGA-3X-AAV9-01	TCGA-W5-AA2I-11	TCGA-ZU-A8S4-01	TCGA-W5-AA31-11	TCGA-W5-AA30-01	TCGA-ZH-A8Y4-01	TCGA-W5-AA2G-01	TCGA-W5-AA2Q-11	TCGA-ZH-A8Y5-01	TCGA-W5-AA30-11	TCGA-W6-AA0S-01	TCGA-W5-AA2Q-01	TCGA-3X-AAVC-01	TCGA-4G-AAZO-01
ENST00000275196	ARG1-201	-9.9658	-3.0469	-1.685	-9.9658	-3.816	-9.9658	-2.3884	4.0765	-9.9658	-9.9658	3.5923	-3.0469	-5.5735	1.5216	-9.9658	-9.9658	4.3924	-9.9658	-9.9658	1.9638	-3.3076	-9.9658	2.8542	2.5163	-9.9658	-2.9324	4.3883	-1.4305	-9.9658	-9.9658	-9.9658	-9.9658	2.6624	-9.9658	4.7555	-9.9658	-3.3076	-1.2481	2.3077	-3.6259	2.5756	-9.9658	-9.9658	-5.0116	-9.9658
ENST00000356962	ARG1-202	-5.5735	-9.9658	0.547	-9.9658	-9.9658	-2.8262	2.2452	1.9111	-9.9658	0.4233	2.8562	-9.9658	-9.9658	-9.9658	-0.7346	-9.9658	2.8402	-4.035	1.6649	-0.394	-2.9324	-9.9658	3.5754	2.0673	-4.035	-9.9658	2.6464	0.2154	-9.9658	-9.9658	-9.9658	-9.9658	3.0252	-9.9658	2.8542	-5.5735	-9.9658	0.9191	1.8683	-9.9658	1.5514	-3.816	-4.6082	-4.6082	-9.9658
ENST00000368087	ARG1-203	-9.9658	-2.2447	5.6453	-1.7322	-3.6259	-0.7834	4.5417	8.3469	-9.9658	-1.9379	8.2829	-0.9406	1.5013	4.7939	-0.6873	-3.816	8.6945	-9.9658	4.9677	6.0826	-9.9658	-9.9658	8.441	7.5867	-9.9658	-0.0725	8.2676	5.1879	-9.9658	-2.6349	-1.3183	-5.5735	8.4831	-0.1665	8.7651	-9.9658	3.3745	5.9839	7.8486	-9.9658	8.2165	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000469293	ARG1-204	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	0.3907	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	2.2693	-9.9658	-2.5479	-1.1811	-9.9658	-9.9658	2.3677	-0.9971	-9.9658	-9.9658	0.3685	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-0.7834	-9.9658	-1.8314	-9.9658	-9.9658	-1.3183	1.2636	-9.9658	1.7489	-9.9658	-2.4659	-9.9658	-9.9658
ENST00000484820	ARG1-205	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-9.9658	1.3511	-3.1714	-9.9658	-9.9658	-2.3147	-9.9658	-2.114	-1.9942	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.5332	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	1.334	-3.1714	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-2.8262	-5.0116
ENST00000498260	ARG1-206	-9.9658	-9.9658	-0.4921	-9.9658	-9.9658	-9.9658	-1.8314	2.6138	-9.9658	-3.458	2.0465	-9.9658	-3.6259	-2.7274	-9.9658	-9.9658	2.6067	-9.9658	-3.816	-0.6416	-9.9658	-9.9658	3.1129	1.8444	-9.9658	-9.9658	0.4447	-1.1488	-4.2934	-4.2934	-9.9658	-9.9658	2.4908	-9.9658	3.1908	-9.9658	-9.9658	-0.5973	-0.5543	-9.9658	1.3735	-9.9658	-9.9658	-9.9658	-2.6349
ENST00000261783	ARG2-201	1.614	-0.8339	-1.5951	-2.4659	0.7999	0.537	-1.8836	-3.6259	-1.9942	-1.5951	0.8726	-2.0529	1.3283	-0.4719	2.9581	-0.5973	-0.8863	-2.0529	0.8082	0.9343	-0.8084	-2.6349	-1.9379	1.1184	-0.6873	0.0158	0.9038	-0.013	1.5854	-3.3076	-0.9686	2.1925	-3.6259	1.6466	-2.114	-0.3566	-1.0559	0.605	-0.2498	-0.3022	-2.5479	-0.7108	-0.4131	3.5022	2.6161
ENST00000556491	ARG2-202	-9.9658	-9.9658	-9.9658	-3.458	-1.685	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-2.9324	-9.9658	-9.9658
ENST00000557120	ARG2-203	-2.9324	-2.5479	-9.9658	-9.9658	-2.9324	-9.9658	-2.4659	-9.9658	-2.2447	-9.9658	-9.9658	-1.5105	-1.3921	-2.7274	-1.3921	-9.9658	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-2.114	-9.9658	-9.9658	-0.8599	-2.1779	-9.9658	-9.9658	-1.685	-4.035	-1.9942	-0.6643	-9.9658	-3.3076	-2.5479	-1.9942	-6.5064	-0.4325	-3.458	-1.8314	-6.5064	-9.9658	-9.9658	-1.1488	-1.8314
ENST00000557319	ARG2-204	-0.6873	-9.9658	-2.0529	-3.816	-1.0262	-1.8836	-9.9658	-3.1714	-9.9658	-9.9658	-3.0469	-2.4659	-1.1811	-2.3147	-9.9658	-9.9658	-1.4699	-2.8262	-1.9379	-1.5951	-1.0559	-1.7322	-3.3076	-0.1993	-1.8836	-0.8339	-0.9971	-1.7809	-9.9658	-1.9942	-0.3022	-0.8599	-3.458	-1.9942	-2.3884	-5.5735	-9.9658	-0.6416	-9.9658	-3.0469	-3.1714	-3.0469	-2.3884	-0.2671	-0.5756
ENST00000217169	BIRC7-201	1.9149	-2.5479	-2.7274	-0.4719	-9.9658	-2.4659	-2.7274	-9.9658	-2.9324	-1.8836	-9.9658	-1.3921	-9.9658	-1.9942	-1.7322	-1.4699	-3.3076	-2.3884	-9.9658	-3.3076	-0.2498	-9.9658	-9.9658	-9.9658	-2.9324	-0.6416	-9.9658	-9.9658	-1.1488	-2.114	-9.9658	4.0064	-9.9658	-1.9379	-9.9658	-3.1714	-9.9658	-1.5522	-9.9658	-9.9658	-9.9658	-2.3884	-3.816	-2.3147	-9.9658
ENST00000342412	BIRC7-202	1.0983	-1.4305	-9.9658	-9.9658	-2.3147	-9.9658	-9.9658	-5.5735	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-1.0559	-9.9658	-2.4659	-2.8262	-2.8262	-2.2447	-9.9658	-9.9658	-4.2934	-9.9658	-1.9942	-9.9658	-5.5735	-1.4699	-1.0862	-9.9658	-2.7274	3.3336	-9.9658	-0.1993	-5.5735	-9.9658	-5.5735	-0.8339	-5.0116	-4.035	-5.5735	-1.1172	-2.5479	-0.4921	-0.5543
