transcript_id	gene_id	TCGA-AB-2927-03	TCGA-AB-2914-03	TCGA-AB-2954-03	TCGA-AB-2910-03	TCGA-AB-2867-03	TCGA-AB-2984-03	TCGA-AB-2870-03	TCGA-AB-2818-03	TCGA-AB-2824-03	TCGA-AB-3011-03	TCGA-AB-2866-03	TCGA-AB-3007-03	TCGA-AB-2825-03	TCGA-AB-3009-03	TCGA-AB-3002-03	TCGA-AB-2948-03	TCGA-AB-2862-03	TCGA-AB-2900-03	TCGA-AB-2971-03	TCGA-AB-2976-03	TCGA-AB-2985-03	TCGA-AB-2886-03	TCGA-AB-2931-03	TCGA-AB-2813-03	TCGA-AB-2956-03	TCGA-AB-2913-03	TCGA-AB-2830-03	TCGA-AB-2838-03	TCGA-AB-2933-03	TCGA-AB-2849-03	TCGA-AB-2855-03	TCGA-AB-2894-03	TCGA-AB-2986-03	TCGA-AB-2842-03	TCGA-AB-2820-03	TCGA-AB-2895-03	TCGA-AB-2996-03	TCGA-AB-2920-03	TCGA-AB-2955-03	TCGA-AB-2983-03	TCGA-AB-2816-03	TCGA-AB-2878-03	TCGA-AB-2819-03	TCGA-AB-2943-03	TCGA-AB-2959-03	TCGA-AB-2977-03	TCGA-AB-2919-03	TCGA-AB-2994-03	TCGA-AB-2938-03	TCGA-AB-2833-03	TCGA-AB-2912-03	TCGA-AB-2903-03	TCGA-AB-2908-03	TCGA-AB-2837-03	TCGA-AB-3008-03	TCGA-AB-2898-03	TCGA-AB-2932-03	TCGA-AB-2879-03	TCGA-AB-2979-03	TCGA-AB-2863-03	TCGA-AB-2877-03	TCGA-AB-2969-03	TCGA-AB-2844-03	TCGA-AB-2939-03	TCGA-AB-2937-03	TCGA-AB-2865-03	TCGA-AB-2881-03	TCGA-AB-2970-03	TCGA-AB-2851-03	TCGA-AB-2853-03	TCGA-AB-2839-03	TCGA-AB-2941-03	TCGA-AB-2964-03	TCGA-AB-2845-03	TCGA-AB-2952-03	TCGA-AB-2990-03	TCGA-AB-2896-03	TCGA-AB-2972-03	TCGA-AB-2999-03	TCGA-AB-2840-03	TCGA-AB-2966-03	TCGA-AB-2873-03	TCGA-AB-2899-03	TCGA-AB-2975-03	TCGA-AB-2930-03	TCGA-AB-2810-03	TCGA-AB-3006-03	TCGA-AB-2940-03	TCGA-AB-2889-03	TCGA-AB-2916-03	TCGA-AB-2832-03	TCGA-AB-2875-03	TCGA-AB-2884-03	TCGA-AB-2915-03	TCGA-AB-2924-03	TCGA-AB-2911-03	TCGA-AB-2918-03	TCGA-AB-2978-03	TCGA-AB-2885-03	TCGA-AB-2803-03	TCGA-AB-2811-03	TCGA-AB-2869-03	TCGA-AB-2897-03	TCGA-AB-2935-03	TCGA-AB-2963-03	TCGA-AB-2860-03	TCGA-AB-2815-03	TCGA-AB-2880-03	TCGA-AB-2944-03	TCGA-AB-3005-03	TCGA-AB-2949-03	TCGA-AB-2806-03	TCGA-AB-2843-03	TCGA-AB-2814-03	TCGA-AB-2936-03	TCGA-AB-3000-03	TCGA-AB-2836-03	TCGA-AB-2828-03	TCGA-AB-2965-03	TCGA-AB-2857-03	TCGA-AB-2929-03	TCGA-AB-2950-03	TCGA-AB-2928-03	TCGA-AB-2859-03	TCGA-AB-2861-03	TCGA-AB-2901-03	TCGA-AB-2993-03	TCGA-AB-2883-03	TCGA-AB-2854-03	TCGA-AB-2973-03	TCGA-AB-2835-03	TCGA-AB-2917-03	TCGA-AB-2872-03	TCGA-AB-2987-03	TCGA-AB-2812-03	TCGA-AB-2891-03	TCGA-AB-2823-03	TCGA-AB-3012-03	TCGA-AB-2805-03	TCGA-AB-2942-03	TCGA-AB-2817-03	TCGA-AB-2848-03	TCGA-AB-2841-03	TCGA-AB-2868-03	TCGA-AB-2998-03	TCGA-AB-2847-03	TCGA-AB-2981-03	TCGA-AB-2967-03	TCGA-AB-2882-03	TCGA-AB-2995-03	TCGA-AB-2821-03	TCGA-AB-2980-03	TCGA-AB-2946-03	TCGA-AB-2892-03	TCGA-AB-2904-03	TCGA-AB-2822-03	TCGA-AB-2934-03	TCGA-AB-2826-03	TCGA-AB-2871-03	TCGA-AB-2858-03	TCGA-AB-2808-03	TCGA-AB-2887-03	TCGA-AB-2991-03	TCGA-AB-2890-03	TCGA-AB-2925-03	TCGA-AB-2856-03	TCGA-AB-2846-03	TCGA-AB-2876-03	TCGA-AB-2921-03	TCGA-AB-2893-03	TCGA-AB-2988-03	TCGA-AB-2834-03	TCGA-AB-2874-03
ENST00000275196	ARG1-201	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8836	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3884	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.3346	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3548	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3921	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.4131	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6873	-9.9658	-9.9658	-9.9658	-1.3183	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658
ENST00000356962	ARG1-202	-3.1714	-9.9658	-0.8084	-9.9658	1.0007	-0.7108	-9.9658	1.934	-9.9658	0.2029	-9.9658	-1.4699	-1.2142	-9.9658	-9.9658	1.3283	-9.9658	1.105	-9.9658	0.0854	-0.6416	-0.4921	-1.1488	-1.4699	-2.2447	-9.9658	0.0014	2.128	2.0673	-0.5125	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-4.035	-4.2934	-9.9658	-9.9658	-9.9658	-1.0559	0.6425	-9.9658	-0.8863	-9.9658	-2.3147	-0.8339	-2.3147	-0.7588	0.7664	-0.6193	-1.1172	-0.0574	0.2881	0.3796	2.753	-9.9658	-1.6394	0.2154	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.3685	-9.9658	-2.9324	-9.9658	0.5271	-9.9658	-0.3566	0.6969	-0.1504	-3.458	-9.9658	-9.9658	-0.2159	-4.2934	0.679	-9.9658	-0.8599	3.1212	1.8036	-9.9658	-3.6259	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	2.6043	0.9419	-9.9658	-9.9658	0.547	-9.9658	-0.1187	-0.8339	-9.9658	0.1519	0.7407	-5.5735	-9.9658	-9.9658	-9.9658	-0.7834	-9.9658	-9.9658	-9.9658	-9.9658	0.3231	1.0433	-9.9658	-0.0425	-1.5951	-9.9658	-9.9658	-9.9658	-2.9324	-1.0559	-0.5756	-9.9658	-9.9658	1.1382	-0.9971	-9.9658	0.1519	-9.9658	-9.9658	-0.9132	-9.9658	-9.9658	-9.9658	-9.9658	-0.7588	-9.9658	-9.9658	0.434	1.3051	-0.9132	0.9268	-9.9658	-9.9658	-1.7322	-9.9658	0.4552	-9.9658	0.03	0.1519	0.346	-0.6873	-9.9658	-9.9658	-2.3147	2.7051	-9.9658	-2.7274	4.1178	-0.7108	-0.4921	-9.9658	-9.9658	-9.9658	0.044	0.9343	0.1257	-0.9971	-9.9658	0.8883	0.3796
ENST00000368087	ARG1-203	0.0158	0.0854	-0.4131	-0.1504	4.8192	-9.9658	-1.2481	4.0436	1.177	-9.9658	-0.4325	-0.1504	-9.9658	-0.6193	0.5069	3.3619	-0.6643	0.6699	0.058	-9.9658	-9.9658	-9.9658	-1.8836	0.4761	-1.5951	-0.7108	-1.5951	3.7688	2.3649	3.1604	-1.2481	-0.2328	-0.4921	-0.7588	-0.2498	-9.9658	0.8488	-0.6643	0.3231	0.1648	-9.9658	1.1577	0.6608	0.7233	1.105	-9.9658	-9.9658	0.03	0.7832	0.3231	-1.1488	-9.9658	0.7664	-0.4521	2.77	5.2464	-0.2671	-2.114	1.4652	2.4779	-0.7588	-9.9658	-0.4719	2.5112	-1.5105	0.8246	-0.0574	0.4761	-0.5756	-9.9658	0.434	3.5262	1.0711	-0.5332	1.4911	1.3956	-2.0529	1.1897	0.2029	-9.9658	-0.1504	1.7403	-0.3022	-9.9658	2.7336	2.4171	-0.8599	1.9859	-0.8599	1.5758	-9.9658	-0.0277	-0.4131	3.9374	1.5758	-0.5973	0.2277	-9.9658	0.1903	-9.9658	-0.3566	-0.6643	-9.9658	-9.9658	0.8647	1.3846	-0.7588	-0.8339	-0.1504	-0.7346	2.2543	-0.7588	2.3164	1.9895	2.6067	0.6425	-1.3548	-9.9658	-1.6394	4.1804	0.9935	-0.2498	-0.9132	-1.0862	-1.8836	0.5666	-9.9658	-9.9658	2.7249	-9.9658	-0.013	2.5536	-0.7834	0.1648	-0.1187	-1.6394	-0.1993	-1.2828	-0.9406	-1.5951	-9.9658	-9.9658	-1.2828	3.091	-1.9942	-0.1993	-1.2481	2.6783	2.5634	1.8722	3.0092	-9.9658	2.236	-1.9942	-0.9971	-0.7108	-1.9379	-1.2142	-0.3022	0.3796	5.5611	0.9115	-0.9686	1.9601	-0.8599	-2.3884	0.03	-9.9658	-1.5105	0.3346	0.2522	3.7625	-1.1811
ENST00000469293	ARG1-204	-9.9658	0.4233	-9.9658	-2.3147	0.7493	-2.3147	-9.9658	2.4675	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.1993	-9.9658	-9.9658	-9.9658	-0.6416	-2.0529	-9.9658	-9.9658	-1.9379	-1.7809	-0.6193	-1.3921	-9.9658	-0.4921	-1.2142	-9.9658	-9.9658	-9.9658	-9.9658	-0.2671	-1.8836	-2.6349	-9.9658	-9.9658	-0.2328	-9.9658	-0.394	-9.9658	-1.2828	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-1.4699	-9.9658	0.2277	2.4063	-0.2671	-9.9658	0.4657	-1.5522	-9.9658	-9.9658	-1.6394	0.1388	-3.6259	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-1.5951	-2.9324	-5.5735	-9.9658	-9.9658	-1.5522	-9.9658	-9.9658	-0.5332	0.2998	-9.9658	-9.9658	-9.9658	-9.9658	0.4233	-9.9658	-1.8836	-9.9658	-9.9658	1.1117	-9.9658	-6.5064	-9.9658	2.4831	-9.9658	-9.9658	-1.2828	-9.9658	-0.6193	-0.8599	-9.9658	-9.9658	-9.9658	-0.1504	-0.8084	-1.0262	-9.9658	0.3907	-9.9658	-2.0529	-9.9658	-9.9658	-0.4719	-9.9658	1.787	-2.7274	-9.9658	-9.9658	-0.3201	0.3573	-0.1665	-9.9658	-5.5735	-9.9658	-1.9379	-9.9658	-2.9324	-9.9658	-2.0529	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.3383	-9.9658	-9.9658	-1.1488	-0.1504	-0.5543	-9.9658	-9.9658	-9.9658	-1.5951	0.1257	-2.8262	1.5661	-9.9658	1.0222	-9.9658	-2.0529	-9.9658	-1.4699	-1.9942	-9.9658	-9.9658	1.0433	-9.9658	-1.0262	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658	-9.9658	-2.0529	-9.9658	1.6964	-9.9658
ENST00000484820	ARG1-205	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.1124	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-1.1172	-6.5064	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	0.5666	-9.9658	-9.9658	-0.5543	-9.9658	-9.9658	-0.3566	-2.7274	-0.3022	1.674	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-0.2328	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6416	-1.8314	-9.9658	-9.9658	-9.9658	-0.8339	-0.9406	-0.3201	-0.394	0.2277	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.6239	-5.5735	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6416	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-3.1714	-9.9658	-9.9658	-0.5125	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.3231	0.434	0.3685	-9.9658	-9.9658	-9.9658	-9.9658	-1.4305	-9.9658	-9.9658	-9.9658	-1.0262	-3.1714	-9.9658	-9.9658	-0.4921	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	0.2277	-9.9658	-0.6873	-1.5951	-9.9658	-9.9658	-1.7809	-9.9658	0.3796	-9.9658	-0.0277	-0.5756	-9.9658	-1.2828	-9.9658	-9.9658	-9.9658	-0.9132	-9.9658	-2.4659
ENST00000498260	ARG1-206	0.3685	1.0779	0.8568	0.03	3.2158	-0.9132	-1.1488	2.7487	0.0718	2.043	0.0854	0.8082	1.1512	0.5859	0.547	2.3536	-0.6873	1.1641	1.6512	0.0854	-9.9658	-0.3383	-0.3022	-0.2498	-1.3548	-1.9942	0.7916	3.1458	2.4035	2.826	-0.1345	-0.5756	-1.3183	-0.5756	-0.9971	0.8805	1.3109	-1.5105	1.7009	0.3907	-9.9658	0.4967	-0.9132	-0.5756	1.1512	-1.685	-0.013	0.6699	0.1257	0.1124	0.3685	0.4233	-0.5543	0.5069	1.8879	3.8581	-0.3022	0.346	0.1388	1.6327	1.0363	-0.0277	0.8246	0.5955	-1.7809	0.9115	0.7832	0.6239	-0.0877	0.4447	0.2277	1.8363	-0.9406	-0.8599	-2.9324	-0.1345	-2.6349	-0.1187	-0.0574	-2.3147	0.5069	1.8282	0.1124	-0.8599	2.118	0.6517	0.2642	1.6327	-0.4719	1.0573	-0.3201	0.044	0.4761	2.8838	1.6558	0.044	-0.1345	-2.1779	0.3231	-1.1172	-0.4719	-0.394	0.5271	0.605	0.1388	0.2642	-1.6394	0.058	0.4233	-1.3548	1.0293	1.0007	1.105	0.1257	0.8488	-0.2845	0.5859	-0.6873	-0.8339	2.7679	0.3796	0.8961	0.2881	-0.0877	-0.1665	-1.2481	0.7493	-0.4719	-0.2328	-0.1993	0.3346	1.4174	0.9115	0.2762	0.5763	-1.0262	0.3907	-0.8084	-0.2845	1.4494	-0.013	1.3679	-2.114	1.766	1.0079	0.9343	-0.5973	2.2452	1.3735	0.6239	2.1411	0.24	0.547	0.9419	-1.5105	-1.0559	-2.8262	1.0363	0.434	-0.0877	4.1788	-0.5125	1.1641	1.7954	-1.3548	-1.1488	1.2085	0.5568	-0.6873	-1.5522	-0.013	1.5661	1.3051
ENST00000261783	ARG2-201	-0.7834	-2.114	-2.3147	-0.1345	-2.4659	-4.2934	-1.9942	-0.8084	-0.013	-1.3548	-3.3076	-2.1779	-2.1779	0.4016	0.4016	-1.2142	-2.5479	-1.8314	-2.5479	-2.3884	-2.114	-2.6349	-1.3548	-3.3076	-0.7108	-2.114	-1.9942	-0.394	-1.2481	2.0673	-0.013	-1.2481	-5.0116	-3.0469	1.177	-2.0529	-1.6394	-0.2671	-9.9658	-2.114	-9.9658	1.9895	-0.5756	-1.2142	-0.6643	-4.035	-1.3183	-0.0425	2.8482	-0.0277	-1.5951	-0.1031	-3.816	-2.0529	-1.7322	-0.6643	-1.9942	-4.035	-9.9658	1.6327	-1.5105	-3.3076	-4.6082	-2.1779	1.2455	1.1382	-1.4305	-2.7274	-1.3548	-2.4659	-2.0529	2.328	-1.7809	-3.1714	1.7489	-3.6259	-2.7274	-1.1172	-9.9658	-0.8084	-1.9379	-0.8339	-0.7588	0.058	-4.2934	-1.2481	-2.1779	-0.7108	-2.1779	-0.9406	-1.7809	-1.0862	-1.7322	1.4911	-1.7322	-0.8339	-2.2447	0.6332	0.1124	-9.9658	-1.0262	-0.6193	-1.2142	0.9419	-0.4921	0.2881	-2.4659	-2.9324	3.1062	-2.9324	0.03	-2.1779	0.24	-1.5105	0.9419	-4.035	-1.8836	-2.0529	-1.6394	1.0079	1.2875	-2.5479	3.5621	-1.1488	-1.3548	2.8602	-1.5951	-3.1714	-2.6349	-9.9658	-1.1811	-2.7274	-3.3076	-1.5522	-1.8836	-1.1811	-3.6259	-2.114	-0.7588	-9.9658	1.8957	-1.5951	-2.6349	-0.6643	-3.3076	1.3283	-3.1714	-2.4659	-0.7346	0.8568	0.7233	-1.9379	-2.6349	-2.0529	-0.8599	-0.8599	-0.3022	-1.685	0.044	-1.1172	-2.6349	0.7233	-4.035	-1.1811	-0.5973	-2.3147	-1.9942	-2.7274	-0.9686	-9.9658	-3.816	-2.6349	-2.0529
ENST00000556491	ARG2-202	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.6394	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3183	-0.8863	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.0425	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.5522	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9971	-9.9658	-1.9942	-9.9658	-9.9658	-2.1779	-9.9658	-9.9658	-3.458	-9.9658	-1.3183	-9.9658	-1.7809	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8836	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8836	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.1488	-9.9658	-0.6873	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	-2.7274	-2.3884	-9.9658	-2.4659	-9.9658	-9.9658
ENST00000557120	ARG2-203	0.4657	-1.3921	0.4233	0.688	-1.5105	-2.4659	-0.1187	-1.1172	-0.3566	0.3573	-1.685	-0.7588	-1.4699	0.6239	0.7146	-1.2481	-9.9658	-1.2142	-0.0725	-2.3884	-9.9658	-0.6643	0.1648	-1.3183	-0.8339	0.5955	-0.1504	0.044	-9.9658	1.2934	0.8488	-0.1504	-9.9658	-1.9379	2.118	-1.2481	-1.1172	1.2455	-1.685	1.1706	-9.9658	-0.8339	-9.9658	-1.3183	0.9493	-3.6259	0.346	1.196	0.7748	-0.0574	-1.685	-0.8863	-1.3548	-0.8599	-2.1779	0.5763	-1.7809	-1.0262	-2.9324	0.1776	-1.1811	-1.3921	-1.0559	-1.5951	-0.3566	0.679	-0.1187	-1.0262	-1.1172	-1.7322	0.1903	-0.1031	-0.7834	-0.5125	0.9935	-0.6193	-0.0877	-1.5105	-1.3183	-9.9658	-1.3548	-0.5543	-1.9942	-9.9658	-1.3921	-0.6643	-0.2845	-0.5756	-1.3183	-0.1187	-1.5522	-3.1714	-0.0277	0.8726	-1.4305	-1.3921	-0.7108	-1.3183	-0.8339	-2.2447	-1.0262	-0.2845	-1.0262	0.5568	-1.1172	-9.9658	-1.0262	-1.7809	2.6208	-1.3183	0.434	-2.4659	-0.1665	-0.7346	1.5998	-0.9971	-1.3921	-2.7274	-0.7346	0.2029	1.8484	-0.9971	2.4412	-0.8084	-0.1665	1.2516	0.5666	-1.9379	-0.6643	-3.6259	-2.0529	-0.9971	-0.6193	-3.0469	0.1903	-0.8339	-0.0425	-1.5522	0.517	-0.5973	1.8484	0.2762	-1.5951	-0.394	-0.3752	0.3346	-1.2142	-0.8599	0.099	0.3907	0.8082	-1.9942	-0.6193	-9.9658	-0.9132	-0.1828	-1.4699	-9.9658	-0.3201	0.0158	-1.3921	1.0079	-1.3183	-0.0574	-9.9658	-1.0559	-1.3548	-4.035	-0.9971	-4.2934	-0.2159	-0.3201	-0.3022
ENST00000557319	ARG2-204	0.4761	-0.9132	-0.0425	0.7407	0.2154	-3.458	-1.685	0.2762	-9.9658	1.2934	0.7579	-0.4719	0.3115	1.934	0.044	0.2154	-0.8599	-1.4699	0.3573	-0.8863	-0.013	0.044	-0.7346	0.2762	-0.1345	0.9493	0.0718	-0.7588	-0.8084	2.0776	0.099	0.7146	-3.6259	-0.4325	2.362	0.4967	-0.4131	0.1648	-0.1345	0.8082	-9.9658	-0.3566	0.5763	-0.2159	1.5563	-2.3884	0.537	0.7832	1.0079	0.0158	-0.1665	-1.1172	-0.5332	-0.6643	-0.1665	0.6608	-0.6193	0.5763	-2.9324	-1.5105	-0.394	-1.2142	-0.6873	-2.8262	-0.4131	0.0158	0.4447	0.537	0.3907	-1.4305	0.2762	1.2394	-9.9658	-0.5756	0.2522	0.1388	-0.8339	-0.4921	-9.9658	-3.0469	0.3685	0.1519	0.3907	-0.1031	-0.0574	-0.8339	-0.6643	-0.5973	-0.7346	0.9568	-1.5951	-1.3183	0.1648	0.6425	-0.2328	-9.9658	0.4552	-1.8836	0.7832	-0.8863	-1.4699	-0.9406	-0.1031	0.9789	-0.6873	-0.9132	0.2881	-0.2328	2.561	-1.0262	-0.9971	-0.6193	0.2998	-0.4325	2.0569	0.7832	-0.6193	1.0363	-0.2671	1.2333	1.8444	0.2762	2.1988	0.1519	-0.0725	1.3109	0.7407	-0.8084	0.0854	-1.0559	-2.4659	0.8726	0.6699	-1.5105	-2.3884	-0.1993	0.8164	0.1776	0.679	-0.394	1.9968	0.8568	-9.9658	0.2881	0.1257	0.4865	-0.2671	0.1257	0.4657	0.7999	1.2085	-0.5973	0.1903	0.24	-1.3548	0.044	0.1648	-0.6643	0.8726	-0.1665	-2.114	1.7744	-1.0862	0.6425	-1.0559	-1.4305	0.03	-2.3884	-0.394	-0.5332	0.6969	0.1903	0.0718
