transcript_id,TCGA-M8-A5N4-01,TCGA-IB-7890-01,TCGA-Q3-AA2A-01,TCGA-LB-A9Q5-01,TCGA-IB-8126-01,TCGA-3A-A9IZ-01,TCGA-HZ-7924-01,TCGA-HZ-A49H-01,TCGA-IB-A5SO-01,TCGA-2J-AABU-01,TCGA-IB-A6UG-01,TCGA-3A-A9IC-01,TCGA-IB-7887-01,TCGA-H6-A45N-11,TCGA-HV-A5A3-01,TCGA-3E-AAAY-01,TCGA-IB-AAUO-01,TCGA-3A-A9IL-01,TCGA-H6-8124-01,TCGA-HZ-8315-01,TCGA-2J-AABR-01,TCGA-FB-AAPZ-01,TCGA-HZ-A8P0-01,TCGA-F2-6880-01,TCGA-HV-A7OP-01,TCGA-H6-8124-11,TCGA-HZ-A4BK-01,TCGA-XD-AAUH-01,TCGA-3A-A9IS-01,TCGA-RB-A7B8-01,TCGA-IB-A5SP-01,TCGA-IB-AAUT-01,TCGA-IB-7644-01,TCGA-HZ-A8P1-01,TCGA-3A-A9IR-01,TCGA-2J-AABK-01,TCGA-XN-A8T5-01,TCGA-LB-A8F3-01,TCGA-YB-A89D-11,TCGA-F2-7276-01,TCGA-H6-A45N-01,TCGA-HV-A5A4-01,TCGA-HV-A5A3-11,TCGA-HZ-7923-01,TCGA-HZ-A77Q-01,TCGA-HV-A7OL-01,TCGA-IB-7889-01,TCGA-HZ-7926-01,TCGA-3A-A9IV-01,TCGA-HZ-A49G-01,TCGA-2L-AAQM-01,TCGA-IB-AAUM-01,TCGA-2L-AAQE-01,TCGA-F2-A7TX-01,TCGA-US-A77G-01,TCGA-FB-AAPP-01,TCGA-US-A779-01,TCGA-FB-A545-01,TCGA-IB-7893-01,TCGA-S4-A8RP-01,TCGA-HZ-8002-01,TCGA-IB-7645-01,TCGA-3A-A9IU-01,TCGA-2J-AAB8-01,TCGA-2J-AABP-01,TCGA-IB-7651-01,TCGA-IB-AAUP-01,TCGA-XD-AAUG-01,TCGA-US-A77J-01,TCGA-2J-AABI-01,TCGA-HV-A5A5-01,TCGA-3A-A9I9-01,TCGA-YY-A8LH-01,TCGA-S4-A8RO-01,TCGA-XN-A8T3-01,TCGA-IB-7885-01,TCGA-HZ-A4BH-01,TCGA-HZ-8003-01,TCGA-IB-A5SQ-01,TCGA-FB-AAPS-01,TCGA-HZ-8636-01,TCGA-2J-AAB9-01,TCGA-HZ-7918-01,TCGA-2J-AABA-01,TCGA-IB-A7LX-01,TCGA-HZ-8519-01,TCGA-2L-AAQA-01,TCGA-2J-AABE-01,TCGA-FB-AAQ2-01,TCGA-HZ-7289-01,TCGA-HZ-A77P-01,TCGA-IB-AAUS-01,TCGA-3A-A9IB-01,TCGA-HZ-7922-01,TCGA-IB-AAUR-01,TCGA-FB-A78T-01,TCGA-3A-A9IO-01,TCGA-IB-8127-01,TCGA-HZ-8317-01,TCGA-2L-AAQI-01,TCGA-IB-7886-01,TCGA-IB-AAUW-01,TCGA-US-A776-01,TCGA-Z5-AAPL-01,TCGA-XD-AAUI-01,TCGA-3A-A9IH-01,TCGA-FB-A4P6-01,TCGA-HZ-A77O-01,TCGA-3A-A9I7-01,TCGA-HZ-8638-01,TCGA-3A-A9J0-01,TCGA-IB-7654-01,TCGA-HZ-A9TJ-06,TCGA-2L-AAQL-01,TCGA-HZ-A9TJ-01,TCGA-IB-AAUQ-01,TCGA-IB-7888-01,TCGA-XD-AAUL-01,TCGA-IB-7891-01,TCGA-2J-AABV-01,TCGA-FB-AAQ1-01,TCGA-2J-AABF-01,TCGA-FB-AAPY-01,TCGA-FB-A4P5-01,TCGA-2J-AAB6-01,TCGA-IB-A6UF-01,TCGA-H8-A6C1-01,TCGA-IB-7897-01,TCGA-IB-AAUN-01,TCGA-HV-AA8V-01,TCGA-US-A774-01,TCGA-IB-7652-01,TCGA-Q3-A5QY-01,TCGA-FB-AAPU-01,TCGA-OE-A75W-01,TCGA-IB-7649-01,TCGA-HZ-A49I-01,TCGA-HV-A5A6-01,TCGA-US-A77E-01,TCGA-F2-A8YN-01,TCGA-RL-AAAS-01,TCGA-2J-AABT-01,TCGA-L1-A7W4-01,TCGA-2L-AAQJ-01,TCGA-FB-A5VM-01,TCGA-HZ-8637-01,TCGA-2J-AAB4-01,TCGA-3A-A9IJ-01,TCGA-S4-A8RM-01,TCGA-HZ-7919-01,TCGA-IB-A5ST-01,TCGA-IB-A5SS-01,TCGA-F2-A44H-01,TCGA-YH-A8SY-01,TCGA-F2-A44G-01,TCGA-2J-AABO-01,TCGA-HZ-7925-01,TCGA-3A-A9IN-01,TCGA-FB-AAPQ-01,TCGA-3A-A9I5-01,TCGA-2J-AABH-01,TCGA-3A-A9IX-01,TCGA-3E-AAAZ-01,TCGA-FB-AAQ0-01,TCGA-HZ-8005-01,TCGA-IB-7646-01,TCGA-YB-A89D-01,TCGA-IB-AAUU-01,TCGA-LB-A7SX-01,TCGA-HZ-8001-01,TCGA-HZ-7920-01,TCGA-PZ-A5RE-01,TCGA-2J-AAB1-01,TCGA-HV-AA8X-01,TCGA-IB-A7M4-01,TCGA-F2-6879-01,TCGA-IB-7647-01,TCGA-RB-AA9M-01,TCGA-FB-A7DR-01,TCGA-FB-AAQ6-01,TCGA-F2-7273-01,TCGA-IB-AAUV-01,TCGA-FB-AAQ3-01
ENST00000556491,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-0.5125,-2.5479,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-2.1779,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.5479,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.114,-9.9658,-9.9658,-9.9658,-3.1714,-2.114,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.8262,-9.9658,-9.9658,-1.8314,-9.9658,-3.816,-1.1811,-1.7809,-9.9658,-9.9658,-1.4305,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-1.9942,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.6259,-2.6349,-1.9379,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.7322,-9.9658,-4.035,-1.1488,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.1779,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.0469,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-4.6082,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-2.8262,-3.0469,-1.2481,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-0.5543,-1.0862,-9.9658,-9.9658,-9.9658,-9.9658,-2.3884,-3.1714,-9.9658,-2.2447,-9.9658,-9.9658,-1.7809,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-2.9324
ENST00000553493,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.9942,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.3147,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.9942,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ENST00000492923,-9.9658,-3.3076,-3.458,-9.9658,-1.9379,-9.9658,-2.9324,-4.2934,-1.9379,-2.3147,-4.035,-9.9658,-9.9658,-1.5951,-9.9658,-4.035,-0.9686,-3.816,-2.2447,-2.4659,-3.458,-3.458,-4.035,-9.9658,-9.9658,-2.9324,-2.7274,-3.816,-9.9658,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,-3.6259,-9.9658,-9.9658,-1.2828,-2.3884,-9.9658,-1.9942,-9.9658,-1.3921,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-3.6259,-9.9658,-1.7322,-9.9658,-3.816,-9.9658,-2.114,-9.9658,-1.9942,-3.816,-2.3884,-1.3548,-1.685,-1.685,-9.9658,-3.6259,-3.458,-2.8262,-2.4659,-9.9658,-4.2934,-3.816,-4.6082,-4.035,-3.6259,-3.816,-9.9658,-2.3884,-2.8262,-2.6349,-9.9658,-1.2142,-9.9658,-2.9324,-3.458,-1.4305,-2.3147,-2.9324,-9.9658,-9.9658,-9.9658,-3.816,-2.5479,-9.9658,-3.6259,-0.8339,-3.3076,-9.9658,-1.1811,-1.5951,-3.458,-2.9324,-9.9658,-4.035,-3.6259,-2.8262,-9.9658,-1.2481,-3.1714,-3.1714,-0.3383,-9.9658,-3.6259,-9.9658,-9.9658,-4.035,-1.8836,-9.9658,-2.6349,-9.9658,-9.9658,-9.9658,-3.0469,-4.035,-9.9658,-1.5951,-2.3147,-3.816,-1.685,-9.9658,-9.9658,-3.816,-9.9658,-3.0469,-2.5479,-9.9658,-2.2447,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-2.6349,-3.816,-9.9658,-0.4719,-4.035,-9.9658,-2.1779,-2.5479,-9.9658,-9.9658,-9.9658,-3.816,-3.3076,-9.9658,-4.2934,-9.9658,-2.8262,-9.9658,-3.6259,-3.1714,-9.9658,-9.9658,-2.5479,-3.3076,-2.5479,-2.8262,-9.9658,-9.9658,-2.114,-2.1779,-9.9658,-9.9658,-9.9658,-4.2934,-3.3076,-3.816,-3.6259,-9.9658,-2.8262,-9.9658,-9.9658
ENST00000498261,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.0469,-9.9658,-9.9658,-3.6259,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,0.3796,-9.9658,-9.9658,-9.9658,-2.9324,-9.9658,-9.9658,-9.9658,-2.8262,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.6259,-9.9658,-9.9658,-1.5522,-3.0469,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-2.114,-9.9658,-9.9658,-5.0116,-9.9658,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.3076,-2.6349,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.4305,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-3.6259,-9.9658,-2.8262,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.114,-2.0529,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-3.458,-9.9658
ENST00000512584,-5.5735,-5.0116,-3.3076,-9.9658,-5.5735,-5.5735,-3.1714,-9.9658,-6.5064,-9.9658,-5.0116,-5.0116,-5.5735,-5.5735,-5.5735,-4.6082,-4.2934,-9.9658,-3.458,-4.035,-4.2934,-3.458,-4.035,-9.9658,-9.9658,-2.7274,-5.0116,-3.816,-9.9658,-5.0116,-6.5064,-3.3076,-9.9658,-5.0116,-6.5064,-6.5064,-3.458,-9.9658,-4.035,-4.6082,-3.458,-3.6259,-2.5479,-4.2934,-4.2934,-9.9658,-6.5064,-4.035,-9.9658,-4.6082,-6.5064,-5.5735,-6.5064,-4.6082,-9.9658,-9.9658,-6.5064,-4.2934,-5.0116,-4.2934,-2.114,-3.458,-9.9658,-5.0116,-3.0469,-9.9658,-3.0469,-5.5735,-5.0116,-4.6082,-5.0116,-9.9658,-9.9658,-2.8262,-4.2934,-6.5064,-4.035,-6.5064,-3.1714,-2.7274,-2.8262,-9.9658,-5.5735,-5.5735,-6.5064,-4.2934,-3.458,-4.2934,-9.9658,-9.9658,-9.9658,-3.0469,-3.3076,-5.5735,-2.8262,-5.5735,-9.9658,-5.0116,-4.2934,-4.6082,-6.5064,-5.5735,-9.9658,-2.9324,-2.7274,-5.0116,-4.2934,-5.5735,-4.035,-4.035,-5.5735,-6.5064,-9.9658,-9.9658,-6.5064,-4.6082,-5.5735,-5.5735,-4.6082,-9.9658,-5.0116,-5.0116,-4.2934,-5.5735,-4.035,-9.9658,-3.6259,-2.7274,-5.0116,-4.2934,-4.2934,-3.1714,-4.2934,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-5.5735,-6.5064,-9.9658,-4.2934,-6.5064,-4.035,-6.5064,-2.6349,-3.458,-9.9658,-6.5064,-3.1714,-5.5735,-5.5735,-9.9658,-2.5479,-3.6259,-4.2934,-3.816,-6.5064,-9.9658,-6.5064,-5.0116,-5.0116,-9.9658,-4.6082,-9.9658,-9.9658,-4.6082,-2.6349,-5.0116,-6.5064,-5.5735,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-5.0116,-2.5479,-4.6082,-5.5735,-3.1714,-4.6082,-5.0116
ENST00000221930,5.4516,6.1102,5.0786,4.1939,3.2297,5.4002,4.1044,4.0567,5.4111,5.7115,5.1404,5.9572,4.7804,5.1433,6.3098,5.1027,4.3162,4.588,6.3623,5.1277,5.9006,5.9096,4.905,1.6649,2.7095,5.3712,5.8605,5.427,3.0199,5.5491,3.6184,5.6271,4.5583,3.7699,3.1311,3.5547,5.9155,5.9732,6.152,5.4829,5.4634,5.3284,5.8187,5.1314,5.8535,4.9241,4.7677,5.0095,3.7193,5.3335,4.7225,3.8391,5.243,4.6999,4.5079,1.1706,4.4317,6.3031,5.447,5.7057,4.8788,5.3523,5.4053,5.0764,7.0311,4.7523,5.8602,5.4516,5.8133,5.6189,5.0955,4.235,5.6574,5.9575,6.0186,5.5644,5.4499,3.8401,6.1781,6.1291,5.5091,5.5457,4.8007,5.8829,5.879,4.5669,5.4996,5.837,4.6759,2.9488,4.9336,6.2188,6.3254,5.2843,6.2873,5.3274,4.656,5.6727,3.8905,5.1922,4.506,5.1115,2.8974,5.7195,5.2453,4.5217,5.5211,5.7391,5.8699,3.6148,5.4111,4.6148,5.0726,5.4595,5.2601,5.2817,5.0321,5.6582,4.8197,2.1862,5.1575,5.62,5.1823,5.3205,6.1829,5.7277,4.6662,5.1839,4.5072,5.4463,5.2574,5.5543,5.9045,3.6312,5.5056,3.6532,5.7629,4.8012,5.8112,5.2304,5.6648,5.3903,5.0588,5.393,5.442,4.9695,5.0184,4.1252,4.178,4.6224,5.5708,6.25,5.3187,5.9531,4.6101,5.6142,5.4797,4.3024,4.6606,5.658,5.0566,5.5113,5.0922,4.3674,5.9819,4.8837,5.957,5.302,3.5436,5.1044,4.7804,5.3277,5.6843,4.6977,5.7269,5.1314,5.166,5.2013,5.8079,4.837,5.7477,5.7407,3.5669
ENST00000253513,4.1203,-1.2828,-9.9658,-3.3076,-0.9406,0.1257,0.9789,0.9115,-0.6416,-1.3183,-9.9658,-1.2828,-1.5522,0.4761,-0.4719,-2.8262,2.6348,-0.3566,-3.0469,3.3591,-0.9971,0.6145,-0.6416,-4.6082,-3.458,-0.6416,-0.2159,0.5666,0.5271,-9.9658,-1.3921,0.7407,-0.0877,-9.9658,-1.9942,0.2642,0.2522,-1.685,-0.5756,1.3454,0.7407,-9.9658,0.3685,-0.3566,-9.9658,-0.1993,-2.2447,-2.2447,-2.7274,-1.685,2.7073,-9.9658,-1.2142,5.1035,-9.9658,-2.3884,-9.9658,-1.8836,-9.9658,1.6374,-0.8863,1.0983,-2.5479,-0.9406,0.7407,2.9128,0.3573,-9.9658,0.6969,0.3796,-1.6394,-1.2481,-9.9658,-9.9658,1.0779,-0.5756,0.7579,-0.0877,-1.3548,0.4967,0.2642,-1.7809,2.4831,-0.6416,-1.0862,0.688,-2.114,-1.4305,-2.6349,-9.9658,-1.0862,-1.4305,-0.7588,0.2998,1.0642,-0.5125,-3.0469,0.5069,-2.0529,-0.3566,2.5972,0.5271,-1.0262,2.4597,-0.1187,-0.5973,0.2154,-9.9658,0.1124,2.2019,-9.9658,-1.2828,-9.9658,-2.2447,-0.6873,0.5955,-1.0862,-0.7834,0.9419,-9.9658,-9.9658,-0.0725,0.2522,1.595,0.1903,-2.5479,-0.2159,0.9115,2.236,-1.5522,0.1648,-1.6394,-1.0862,-1.4699,1.7532,-3.458,-2.1779,-0.2671,-9.9658,-9.9658,0.346,-0.8599,-9.9658,-0.6193,0.6425,3.871,-1.1172,-9.9658,0.2762,0.7321,-1.4699,-1.3548,-0.5973,-1.8314,1.8604,-1.7322,-2.4659,-1.3183,-0.6643,-1.0262,-9.9658,0.4233,-3.3076,-1.3921,2.872,4.208,-1.8836,-0.8084,-2.9324,0.0158,0.3907,-0.7346,1.3735,-9.9658,1.5165,0.1776,-0.5332,-2.2447,2.0183,0.9343,0.3796,-0.394,-0.6193
ENST00000521636,-1.0262,-9.9658,-9.9658,-9.9658,-2.7274,-9.9658,-4.035,-2.7274,-2.8262,-9.9658,-4.035,-9.9658,-9.9658,-2.6349,-9.9658,-9.9658,-2.3884,-9.9658,-9.9658,-2.2447,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.6259,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-1.0862,-9.9658,-9.9658,-0.4521,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,1.8957,-2.5479,-9.9658,-9.9658,-9.9658,-3.816,-9.9658,-9.9658,-9.9658,-2.3147,-9.9658,-3.1714,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-3.6259,-9.9658,-3.458,-3.3076,-9.9658,-9.9658,-9.9658,-9.9658,-3.458,-9.9658,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-9.9658,-1.8836,-3.6259,-9.9658,-1.4699,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.4305,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.0529,-9.9658,-9.9658,-9.9658,-9.9658,-3.6259,-9.9658,-3.1714,-9.9658,-9.9658,-9.9658,-3.1714,-2.3147,-9.9658,-9.9658,-4.035,-3.0469,-9.9658,-1.5105,-3.816,-9.9658,-9.9658,-9.9658,-2.9324,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-0.9132,-1.2481,-9.9658,-9.9658,-3.3076,-3.458,-9.9658,-2.7274,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,-4.035,-9.9658,-3.3076,-0.1031,-3.458,-9.9658,-9.9658,-4.2934,-9.9658,-4.035,-0.6416,-9.9658,-3.6259,-9.9658,-9.9658,-9.9658,-3.3076,-9.9658,-1.4305,-9.9658,-4.035
ENST00000260061,5.2533,5.7209,3.6312,3.4344,3.5461,4.0401,3.6219,3.716,5.5571,4.0171,3.4398,4.9819,4.935,2.6043,3.9965,5.2087,2.9784,4.5117,4.2366,4.9089,5.1248,4.8365,5.0374,1.2085,-1.5105,5.1635,4.8141,5.353,2.694,4.579,3.5572,5.3205,4.2274,4.1458,3.8411,2.5188,5.6514,3.5399,5.9939,5.3586,5.0679,4.8365,4.5224,5.0299,5.625,3.3759,4.1036,4.6697,3.1908,5.6074,3.5086,3.1475,4.6871,4.4067,2.7007,1.7489,3.2796,5.2743,4.7263,4.8228,5.1273,5.63,4.5098,4.7981,5.3934,5.5592,5.5037,6.0,4.0773,3.4907,4.7814,3.6184,3.0876,4.4575,5.1981,4.9589,6.1129,4.0816,5.8448,5.5062,5.0687,5.0653,4.585,5.4253,3.7646,5.1445,4.1595,4.7121,3.2826,0.7146,4.347,5.2242,5.4552,5.5826,4.8861,4.1236,3.47,5.4925,3.603,4.4549,4.1644,4.637,1.7786,4.3979,4.9801,4.5705,5.374,3.3773,4.8074,3.0181,4.8778,5.1831,4.9108,4.891,4.812,4.3399,5.3886,5.6482,4.9165,1.4704,3.3407,4.8345,4.5104,4.8615,4.7866,3.9792,4.7714,4.9561,4.6018,5.5142,5.0343,5.5729,4.0304,3.4437,3.4881,3.47,6.007,3.5923,5.6171,4.1756,4.5681,4.5117,3.7836,4.7127,4.6983,3.7193,4.9016,2.9562,3.9589,4.7714,4.8949,5.2913,4.085,4.6006,4.6988,5.2265,6.3094,3.9599,3.8239,2.8897,4.6445,4.8565,4.3938,3.1409,5.3785,4.0136,5.4938,4.5002,2.8582,4.6977,4.4176,4.3321,4.1523,4.0645,2.2543,3.2236,5.7835,5.1764,5.2836,4.1852,6.3553,5.9458,2.8422
ENST00000423557,-1.0559,-1.0559,-2.3147,-1.9942,-1.0559,-1.8836,-2.3147,0.1648,-0.9686,-0.9686,-3.0469,0.8726,-3.6259,-1.2481,-2.8262,-1.2481,-0.9971,-4.035,-2.3147,-0.0277,-0.2671,-1.2142,-3.816,-6.5064,-0.0425,-0.8339,-0.7834,-0.2159,-3.0469,-2.1779,-2.3884,-0.8339,-3.0469,-3.1714,-2.114,-2.4659,-0.2498,-2.6349,-0.1031,0.1124,-1.7809,-1.8314,-0.5332,0.8408,-0.0425,-1.1172,-1.685,-0.9971,-3.816,-1.4305,-5.5735,-2.6349,-1.9942,-0.9971,-1.5951,-5.0116,-4.2934,-4.035,-1.8836,-1.8836,0.7832,0.2029,-1.7322,-0.2671,2.561,-1.8836,-1.6394,-0.6643,0.3573,-4.6082,-2.0529,-3.1714,-2.8262,-2.7274,-0.2498,-0.5125,-0.4325,-1.4305,-0.7834,-0.6873,-0.3022,-1.0862,-0.394,-1.5951,-2.9324,-0.7588,-1.6394,0.6145,-2.5479,-5.0116,-0.9686,0.6969,-1.5522,-1.3183,0.24,-2.1779,-5.5735,-1.1811,-0.4131,-2.6349,0.4657,0.2881,-4.035,-0.4521,-1.6394,-2.5479,-1.6394,-4.035,-0.1187,-1.4305,-1.0559,-2.4659,-1.2142,-1.7809,-4.2934,-2.6349,-0.9406,-1.5105,-1.4305,-3.816,-2.0529,-0.3383,-1.9379,-1.7322,-1.8836,-1.9942,-3.458,0.547,-1.7322,-0.3201,-1.2142,-0.1504,-0.4131,-3.6259,-3.458,-4.2934,-0.4719,-1.685,-3.0469,-0.3383,-0.9686,-0.8084,-2.114,-2.2447,-1.5522,0.6332,-2.2447,-3.0469,-1.8836,-1.3548,-0.6193,-0.7108,0.24,-0.9971,-1.7809,-0.8863,-1.0262,-1.9379,-3.0469,-3.458,-2.7274,-0.3752,-0.5756,-3.3076,-0.8339,-0.9971,-0.1665,-2.114,-1.4699,0.4761,0.2154,-1.7322,-2.6349,-2.1779,-1.5951,-2.3884,-0.5756,-0.6416,-0.1031,-0.7834,-0.5332,-0.1187,-2.2447
