Name	sample	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
ARG1-201	ENST00000275196.5	0.0	1.7442	0.0	0.5361	1.6229	0.0	0.0	3.101	0.0	0.0	7.3207	2.3896	0.0	6.2741	0.0	8.7538	0.0	1.2869	8.7561	1.4489	0.0	7.0772	0.0	0.0	7.0723	6.4691	9.2447	5.7104	0.0	8.8521	0.0	0.0	5.9288	0.0	3.0054	0.0	0.0	1.2265	0.0	1.6415	1.585	0.3674	3.1906	0.0	8.2307
ARG1-202	ENST00000356962.2	0.0	0.0	1.0	1.3505	0.0	0.0	2.3219	6.4762	0.0	6.351	8.9818	8.0492	1.6182	7.1924	0.0	8.3828	2.7866	0.0	8.5646	0.0	5.0246	9.1578	2.0	1.0	7.4025	5.4983	8.7161	0.0	0.0	8.0058	0.0	0.0	6.8254	2.3219	6.3815	7.5166	0.0	2.5008	0.0	0.0	0.0	0.0	5.9828	0.0	8.8027
ARG1-203	ENST00000368087.7	1.0	5.5438	0.0	0.0	4.6707	0.0	0.0	11.5997	4.3923	4.0976	14.5059	10.4107	0.0	13.2359	3.1699	14.0714	4.7602	2.4005	14.4869	3.2126	5.1387	14.0921	0.0	0.0	14.1322	12.0155	14.6946	10.3942	4.585	14.5063	0.0	2.3219	12.404	0.0	11.535	10.8819	0.0	0.0	0.0	9.1969	0.0	7.0686	11.0068	5.4263	14.2959
ARG1-204	ENST00000469293.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3448	0.0	0.0	3.2675	0.0	1.5509	4.4449	0.0	3.9928	0.0	0.0	5.8319	0.0	0.0	5.774	0.0	0.0	5.4456	2.7159	2.1635	1.1506	0.0	0.8074	0.0	0.0	1.9928	0.0	0.0	1.6369	0.0	0.0	0.0	0.0	0.0	0.0	1.1953	0.0	4.3384
ARG1-205	ENST00000484820.1	0.0	0.0	0.0	1.0	1.2987	0.1635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8115	0.0	0.2987	0.0	0.0	1.6826	0.0	0.0	1.0	0.0	0.0	4.6381	1.4647	0.0	5.0391	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.2141	0.0	0.0
ARG1-206	ENST00000498260.1	0.0	0.0	0.0	0.0	0.0	1.5261	0.0	3.7845	0.0	1.7004	7.2359	2.9298	0.0	3.6147	1.0	4.9435	0.0	0.0566	7.0715	0.0	0.0	7.4263	0.0	0.0	5.9734	4.0365	7.7794	1.9486	0.0	7.4821	0.0	0.0	5.3611	0.0	4.1875	1.4222	1.0	0.0	0.0	0.0	0.0	1.3103	3.5211	0.0	6.78
ARG2-201	ENST00000261783.3	8.4475	6.0738	7.7556	9.4634	4.0644	8.0026	4.5795	6.7039	4.144	4.8704	3.0925	4.4912	5.8222	5.6279	2.9336	7.1884	6.5188	7.0652	5.4111	5.0103	9.2262	4.2645	5.4296	5.8829	3.9193	7.3439	4.3799	5.6326	5.373	3.1473	4.3923	5.673	6.4205	5.717	4.7845	7.2019	7.5973	4.9079	3.3448	5.2555	6.2147	7.3566	6.2823	7.687	7.351
ARG2-202	ENST00000556491.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1243	0.0	0.0	0.0	1.189	0.0	0.8875	0.0	0.0	2.0976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7355	1.0772	0.0
ARG2-203	ENST00000557120.5	4.1747	2.6346	2.0321	3.4114	3.1293	2.3448	1.0841	4.193	0.0	0.0	0.0	2.6462	0.0	1.4751	1.3219	0.0	0.0	2.157	0.0	2.0875	3.4489	0.0	3.8319	2.9336	0.2016	0.0	2.5632	2.1276	2.9873	0.0	2.7225	0.0	0.0	0.0	0.0	0.0	2.9819	0.0	2.4489	0.4751	3.3045	3.2735	0.0	1.6871	0.0
ARG2-204	ENST00000557319.1	3.4995	3.3291	3.4542	3.6904	1.8836	2.9088	2.0496	3.4555	1.3391	0.0	1.6041	0.0	2.0942	0.0	2.3045	3.319	2.275	3.278	2.8856	0.0	0.0	1.3448	2.4542	0.4222	1.6323	2.8718	2.2388	2.0108	3.9819	1.8639	0.0	0.0	3.1554	1.7782	2.5236	2.5993	0.0	2.7398	2.3045	0.0	1.8797	2.9782	2.7093	2.257	1.8359
BIRC7-201	ENST00000217169.7	9.6143	4.8094	7.3948	3.1408	4.0609	0.0	3.6713	3.9754	5.4423	4.0	0.0	3.0976	2.067	0.0	3.4594	0.0	3.0	0.0	2.5311	2.7677	3.9486	0.0	2.7049	2.585	0.0	2.6758	0.0	3.5361	0.0	0.0	2.8777	4.1699	0.0	3.511	3.1699	0.0	4.2623	4.8048	0.0	0.0	0.0	0.0	0.0	3.5741	0.0
BIRC7-202	ENST00000342412.10	8.8608	0.0	6.5033	4.7645	0.0	4.1699	3.2141	4.5692	0.0	0.0	0.0	0.0	3.1243	1.0	0.0	1.0	0.0	3.3219	3.2048	3.7214	4.5204	1.585	3.5211	0.0	1.0	3.5373	1.0	2.1506	3.0	1.0	2.2172	0.0	0.0	4.6206	0.0	3.0	4.2334	0.0704	0.0	1.0	2.0	0.0	4.1699	5.133	0.0
