Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
ARG1-201	ENST00000275196.5	0.0	0.0	0.0	0.0	0.4005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6781	0.0	1.0	0.0	0.0
ARG1-202	ENST00000356962.2	0.0	1.0	0.0	1.8319	1.4222	0.0	1.0	2.9616	0.0	0.0	0.0	0.0	1.585	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.585	0.0	0.0	0.0	0.0	1.585	2.1276	0.0	1.0	0.0	1.0	3.8074	2.1375	0.0	0.0	0.0	1.585
ARG1-203	ENST00000368087.7	0.0	0.0	2.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG1-204	ENST00000469293.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG1-205	ENST00000484820.1	0.0	0.0	0.0	0.5261	0.0	0.0	0.0	0.1506	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG1-206	ENST00000498260.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.729	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG2-201	ENST00000261783.3	7.6972	5.9399	7.4965	6.6397	5.1152	6.7782	4.9378	7.987	8.2649	5.7931	4.5711	6.1835	6.4007	5.7309	6.8364	7.4642	8.981	7.7188	5.1081	7.236	4.1432	4.2563	5.0383	5.1683	2.9982	7.2924	6.9447	7.0986	4.7677	6.1123	6.8464	5.087	8.0868	6.2032	6.5703	6.9959	6.029	6.8163	5.0522	5.9823	5.3313	6.7861	7.2437	5.9743	6.6886	4.4957	8.0507
ARG2-202	ENST00000556491.1	0.0	0.0	0.0	0.0	0.0	1.8953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.257	0.0	0.8319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7398	0.0	0.0	0.0	0.0	0.0	0.3103	0.0	0.0	1.189	0.0	0.0	0.0	0.0	0.4647	0.0	0.0	0.0	0.0	0.0	0.0
ARG2-203	ENST00000557120.5	1.7485	0.0	0.0	0.0	1.86	1.6645	2.1342	1.8197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7137	0.0	3.26	0.0	1.9069	0.0	0.0	0.0	0.0	0.0	2.0772	0.0	0.0	0.0	2.6323	2.2234	0.0	0.0	0.0	2.3074	2.1375	3.1506	0.0	0.0	0.0	3.5814	0.0	0.0	0.0	0.0	0.0	1.9598
ARG2-204	ENST00000557319.1	2.7677	1.7908	0.0	0.0	0.0	1.7613	2.6276	0.0	2.0772	0.0	0.0	1.4005	0.0	2.3161	0.0	1.7398	0.0	3.0144	2.266	0.0	2.1506	0.0	2.5777	0.0	1.9523	0.0	4.2087	2.1603	0.0	0.0	0.0	2.846	0.0	1.7398	2.2869	3.1375	2.275	0.0	0.0	0.0	2.3785	0.0	2.1985	2.1276	0.0	1.275	0.0
BIRC7-201	ENST00000217169.7	6.877	6.628	4.4376	7.4051	5.8721	4.4809	5.5937	5.8826	8.4822	7.8174	7.033	7.1164	2.2234	5.8826	7.1238	6.6171	0.0	7.0538	5.8929	4.3455	0.0	9.4771	7.9112	6.6762	6.0913	6.8804	8.3254	8.289	6.1898	4.6212	7.3916	5.7931	5.1671	5.7162	6.1944	7.2866	7.1792	5.5726	5.0112	4.5348	7.454	8.3953	0.0	5.769	6.6134	4.1922	6.3927
BIRC7-202	ENST00000342412.10	6.8883	6.5671	4.5441	6.4809	5.8826	2.9392	4.5053	0.0	7.0752	6.5198	7.1089	6.8359	3.7082	0.0	6.7912	6.1465	3.8074	6.5239	4.7323	2.1408	3.1699	9.4889	8.8762	6.3877	7.1479	6.8393	7.2019	7.4856	0.0	5.4722	6.4351	3.8826	4.6479	6.3985	5.6741	5.9138	5.9205	0.0	3.4931	5.9533	6.5404	7.0489	3.8074	6.0106	5.0989	4.6276	4.9991
BIRC7-203	ENST00000395306.1	0.0	3.4944	0.0	3.4816	1.281	0.0	0.0	0.0	4.0479	2.2234	0.0	0.0	2.0875	0.0	1.4751	0.0	0.0	2.6135	0.0	1.1763	0.0	3.7866	2.6758	0.0	0.0	1.8758	0.0	0.0	0.0	0.0	3.0959	2.7655	0.0	2.025	2.2357	1.3674	1.8115	2.1408	1.3161	2.5484	2.4803	1.5311	0.0	0.0	2.541	0.0	0.0
CCL2-201	ENST00000225831.4	10.1565	10.534	9.9719	10.8464	10.8326	13.0359	9.6693	11.4485	10.1924	10.601	8.2855	10.5761	9.5268	9.6505	10.0298	9.916	11.1617	11.8334	9.5654	8.9932	7.9571	11.1604	11.0081	9.6093	9.2398	8.6803	11.0823	8.7882	10.8738	11.2284	10.5719	10.6605	11.3859	9.0193	9.3818	10.5845	11.6074	11.5992	9.659	9.6065	10.0493	11.4309	13.139	12.5333	11.0204	10.7362	9.9737
