Name	sample	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-8124-11	TCGA-H6-A45N-01	TCGA-H6-A45N-11	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A3-11	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-HZ-A9TJ-06	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7654-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YB-A89D-11	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01
ARG1-201	ENST00000275196	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.6041	0.3674	0.0	0.0	1.585	0.0	1.157	0.0	0.0	0.0	0.3674	0.0	1.7137	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1043	0.0	0.0	2.2296	0.0	0.0	0.0	0.0	0.0	0.6135	2.0	0.0	0.0	2.0426	2.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2016	0.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.4005	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.263	0.4751	0.275	0.0	0.0	1.0	0.0	1.5311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.251	0.0	1.516	0.0	0.0	0.0841	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0531	0.0	0.0	0.0	0.0	0.516	0.9635	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	1.2928	0.0	0.0	1.0704	0.0	0.0	0.774	1.4436	1.7268	0.0	0.0	0.3448	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG1-202	ENST00000356962	0.0	0.0	0.0	0.0	1.0	2.8258	0.0	0.0	1.4383	0.0	1.585	0.0	0.0	0.0	1.585	1.0	0.0	1.4383	4.9069	1.4436	0.0	1.0	0.0	2.3219	0.0	2.585	0.0	1.0	2.0	0.9486	0.0	6.2748	1.0356	0.0	2.4087	1.585	5.2884	0.0	2.0	0.0	1.3045	0.0	0.0	0.0	3.5705	0.0	1.0	1.0	0.0	1.0	2.8074	0.0	0.0	1.0	0.0	1.585	0.0	0.0	2.0	0.0	1.585	2.3219	1.585	2.3219	3.6668	0.0	1.585	0.0	0.0	0.0	0.0	4.1699	0.0	0.0	1.4222	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.585	1.0	3.0	3.7004	3.3219	1.0	0.0	0.0	0.0	2.5705	0.0	2.9616	0.0	5.0875	0.0	2.3219	0.0	0.0	0.0	0.0	2.8074	0.0	1.0	2.0	0.0	0.0	1.585	0.0	0.0	0.0	1.8319	0.0	2.3219	0.0	0.0	0.0	2.0	1.0	0.0	0.0	3.1506	0.0	0.0	0.0	0.0	0.0	3.4019	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.8074	1.585	2.8074	0.0	3.3219	2.0738	0.0	5.0976	3.7004	2.0	0.0	3.9791	1.585	0.0	2.6508	0.0	3.1715	1.585	1.4489	0.0	2.0	0.0	1.0	2.3219	0.0	0.0	0.0	1.585	2.585	0.0	0.0	3.0	3.4594	2.585	2.4515	0.0	2.3219	1.0	0.0	0.0	0.0
ARG1-203	ENST00000368087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5656	0.0	0.0	0.0	0.0	0.0	3.4289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7004	0.0	1.0	0.0	3.6837	0.0	0.0	4.811	5.3583	11.5555	0.0	2.3219	0.0	0.0	6.3094	0.0	0.0	0.0	0.0	0.0	2.8074	0.0	0.0	4.1342	0.0	0.0	0.0	0.0	0.0	2.585	0.0	0.0	3.0496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3219	0.0	4.0875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1285	0.0	0.0	3.7004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.7803	0.0	4.1755	0.0	2.3219	0.0	0.0	0.0	0.0	0.0	0.0	2.3219	0.0	0.0	0.0	0.0	0.0	3.6576	0.0	3.1276	0.0	2.585	1.7613	0.0	0.0	0.0	3.1227	4.7549	0.0	0.0	2.0	0.0	4.0531	2.4463	2.0	2.585	0.0	4.5236	0.0	3.257	0.0	0.0	0.0	2.585	2.3219	2.0	0.0	0.0	0.0	3.9754	0.0	0.0	2.5777	0.0	0.0	0.0	1.7485	0.0	0.0	2.8659	0.0	2.4436	4.4588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5607	4.0875	0.0	0.0	0.0	3.585	4.0875	0.0	0.0	0.0	0.0	2.8074	0.0	0.0	1.585	0.0	4.4443
ARG1-204	ENST00000469293	0.0	0.0	0.0	0.0	0.0	1.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2016	0.0	0.0	0.0	1.7824	4.047	0.7908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.269	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARG1-205	ENST00000484820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.585	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7824	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.5945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0144	0.8953	0.0	1.0	1.0	0.0	0.0	0.0	0.1506	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5753	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0426	0.0	0.0	0.0	0.6229	0.0	0.0	0.0	0.0	0.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.157
ARG1-206	ENST00000498260	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8237	6.7745	1.1506	0.0	0.0	0.0	1.384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0635	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	2.6112	0.0	1.3448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.263	0.0	0.0	0.0	0.0	1.0	1.0	1.1953	0.0	0.0	0.0	0.0	0.0	1.3334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.7093	0.0	0.0	0.0	1.2079	0.0	1.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3391	0.0	0.0	0.0	0.0	1.0	0.0
ARG2-201	ENST00000261783	6.1003	8.1813	8.4059	5.2196	6.4806	5.7203	5.4611	8.3701	8.4612	8.4865	7.8122	6.7152	9.5217	8.0837	8.0852	6.4684	6.7649	7.308	6.5251	7.0935	7.0883	7.1295	9.7157	8.4479	7.1205	6.8585	7.7768	8.2092	7.5927	12.0003	9.4349	9.8637	11.8271	8.5343	12.1331	6.6574	11.5676	7.2267	8.9016	7.6431	6.8608	8.2425	7.1162	6.5232	8.8765	8.6786	7.8299	6.5127	6.9311	8.5586	6.4987	6.6247	6.319	9.0846	7.4508	7.888	6.1326	7.1305	6.5592	6.7991	7.4193	7.2674	7.1999	7.2841	7.7276	6.6817	6.5075	9.1994	8.1268	7.4804	3.729	6.1617	6.8937	7.5966	7.3815	7.2733	7.8803	6.4167	3.847	7.3363	7.702	8.0607	7.621	7.4444	9.9423	7.6438	9.2124	8.738	7.3298	10.5699	9.0363	8.0206	8.2281	7.9949	6.6179	8.7479	10.8245	8.1465	8.4637	8.4483	5.9686	8.5629	6.4157	7.6354	7.0115	7.0347	8.0808	8.2241	7.3798	6.0875	9.6181	7.6266	7.0935	6.9649	8.4543	9.3178	7.492	8.8337	7.819	8.9034	7.0516	8.4621	7.486	7.305	7.3509	7.792	7.5747	8.1916	9.9748	7.0722	8.0606	7.3866	8.2404	9.317	8.1356	6.5121	6.9118	6.4583	7.211	8.7012	6.3381	6.4857	6.7192	7.4194	7.5013	7.4581	7.4097	7.5877	7.844	8.6007	7.7729	6.738	6.4548	8.3394	5.6314	6.8125	6.3297	7.8486	7.3848	6.4963	6.6433	8.6131	7.4566	5.9181	8.3047	6.7443	7.2704	6.7888	7.0149	7.2194	6.4739	8.8291	9.486	10.0951	7.9907	7.9811	7.2651	7.4373	7.3296	7.7868	7.5696	6.68	5.1432
ARG2-202	ENST00000556491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4383	0.0	0.0	0.0	0.0	0.8319	0.0	2.1342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.541	0.0	1.7824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3674	0.0	0.0	0.0	1.0909	0.0	0.0	1.7824	0.0	0.0	0.856	0.0	0.0	0.0	1.373	0.0	0.0	0.0	0.0	0.0	0.0	0.0704	0.0	0.0	0.0	0.0	0.0	0.0	1.2203	1.7442	0.848	2.6668	1.3951	1.926	0.0	1.7824	1.9598	0.0	0.0	0.0	0.0	1.2449	2.991	0.0	1.2203	0.0	0.0	0.2141	2.9819	0.0	0.0	0.8875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4931	2.585	0.0	0.0	0.0	0.0	2.3978	2.1603	0.0	0.0	0.0	0.0	0.0	1.3334	0.0	0.0	0.0	0.0	0.0	2.4931	2.6206	1.2987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.546	0.0	0.0	0.0	0.5059	1.7824	0.0	0.0	0.0	0.0	1.8278	0.0	0.0	0.0	0.0	0.0	1.406	0.0
ARG2-203	ENST00000557120	3.1763	3.5993	0.0	1.757	0.0	1.8359	2.121	0.0	4.8074	4.3219	2.4699	3.3964	2.3646	3.5286	3.5632	0.1243	2.0391	3.4568	1.1243	0.0	2.5607	0.0	0.0	2.5385	3.488	0.0	2.251	3.9126	4.0866	1.6736	3.06	0.0	4.5844	3.6747	6.6653	0.0	4.942	0.0	0.0	3.3118	3.8728	0.0	3.0942	0.0	3.7666	4.257	2.6485	0.0	0.0	3.1811	2.585	0.0	3.9146	1.8679	3.0036	3.1731	0.0	2.7463	2.3533	3.6542	3.5765	2.6299	3.3937	0.0	2.254	0.0	4.2388	2.9616	4.0824	2.9709	2.7485	0.0	0.0	0.0	0.0	3.3363	1.9069	1.3674	0.0	0.0	0.0	0.0	0.0	2.1375	3.3031	4.4012	3.9946	0.0	3.0374	4.682	3.0391	3.7049	0.0	0.0	2.9727	4.8186	4.5789	3.0566	3.969	3.943	0.0	4.2532	0.0	0.0	0.0	0.0	3.7824	2.5236	2.1985	2.254	4.0764	3.6496	0.2869	3.3882	0.0	3.696	2.4957	4.4692	3.8084	0.0	0.0	1.511	0.0	2.5261	0.0	0.0	4.7219	2.1276	5.3796	0.0	0.0	3.6358	0.0	3.8359	4.4343	3.5148	2.9298	3.3391	0.0	0.0	0.0	3.2795	0.0	3.3031	0.0	3.9088	3.3176	2.3248	2.7887	3.8186	3.2839	3.4463	2.0036	0.0	0.6781	0.0	2.5059	2.6017	2.2265	0.0	0.0	2.669	0.0	2.3363	3.4542	3.9126	0.0	2.511	2.2327	3.2327	2.9745	0.0	3.266	5.3172	2.9523	3.7474	0.0	2.0841	2.2048	0.0	2.2141	3.5261	1.9561
ARG2-204	ENST00000557319	2.0036	2.9146	3.541	2.0531	2.5509	0.0	0.0	3.9754	1.9222	3.6938	3.4074	0.0	3.7431	0.0	2.0841	0.0	2.6736	3.1094	2.6159	1.84	0.0	0.0	4.3455	2.9873	3.2913	3.025	0.0	3.1859	3.2403	2.1667	4.504	3.5084	6.0607	2.2388	6.3735	1.7949	2.9855	0.0	2.9523	2.3306	2.3618	3.3016	2.9616	2.1985	3.263	0.0	0.0	0.0	2.4356	3.1408	0.0	0.0	2.3477	3.0	2.6781	3.366	2.3505	0.0	2.488	2.6392	3.4209	0.0	3.7495	1.8836	2.406	3.366	0.0	3.7071	0.0	3.0356	2.5435	2.2479	0.0	0.0	1.7312	0.0	0.0	0.0	1.0	0.0	2.1177	0.0	0.0	3.251	0.0	2.7442	4.6599	2.7355	0.0	3.7225	3.9059	0.0	4.0917	0.0	2.9653	2.6645	2.0179	1.8758	0.0	3.0841	2.441	0.0	1.9184	2.1635	0.0	0.0	3.4383	0.0	0.0	2.5484	2.1795	3.9136	3.9269	2.4906	0.0	4.1675	1.9561	3.263	3.266	1.8679	0.0	1.7355	2.1309	2.4303	0.0	0.0	1.8758	2.025	4.6758	2.6599	2.8972	2.7929	0.0	4.1715	0.0	3.2765	2.101	2.4033	1.8679	0.0	0.0	2.6229	2.2079	2.0531	2.7463	3.5323	2.6893	0.0	2.856	0.0	3.7148	0.0	0.0	0.0	2.2079	0.0	2.0909	2.4463	0.0	1.6135	0.0	2.0108	0.0	1.7004	0.0	2.3533	2.7613	3.8094	1.8914	2.359	0.0	3.6679	4.1497	4.813	1.9222	2.1859	0.0	1.9146	0.0	3.2373	2.5311	3.4436	3.251
