Name	sample	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
ARG1-201	ENST00000275196.5	-9.9658	-2.9324	-9.9658	-5.0116	-3.0469	-9.9658	-9.9658	-1.2481	-9.9658	-9.9658	2.6624	-2.3884	-9.9658	2.3077	-9.9658	4.3883	-9.9658	-3.816	4.3924	-3.0469	-9.9658	2.8542	-9.9658	-9.9658	2.5756	1.9638	4.7555	1.5216	-9.9658	4.0765	-9.9658	-9.9658	2.5163	-9.9658	-1.685	-9.9658	-9.9658	-3.3076	-9.9658	-3.3076	-3.6259	-5.5735	-1.4305	-9.9658	3.5923
ARG1-202	ENST00000356962.2	-9.9658	-9.9658	-5.5735	-4.6082	-9.9658	-9.9658	-4.035	0.9191	-9.9658	0.4233	3.0252	2.2452	-4.6082	1.8683	-9.9658	2.6464	-2.8262	-9.9658	2.8402	-9.9658	-0.7346	3.5754	-4.035	-5.5735	1.5514	-0.394	2.8542	-9.9658	-9.9658	1.9111	-9.9658	-9.9658	2.0673	-3.816	0.547	1.6649	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	0.2154	-9.9658	2.8562
ARG1-203	ENST00000368087.7	-5.5735	-0.0725	-9.9658	-9.9658	-0.9406	-9.9658	-9.9658	5.9839	-1.7322	-1.9379	8.4831	4.5417	-9.9658	7.8486	-2.6349	8.2676	-0.7834	-3.6259	8.6945	-2.2447	-0.6873	8.441	-9.9658	-9.9658	8.2165	6.0826	8.7651	4.7939	-1.3183	8.3469	-9.9658	-3.816	7.5867	-9.9658	5.6453	4.9677	-9.9658	-9.9658	-9.9658	3.3745	-9.9658	1.5013	5.1879	-0.1665	8.2829
ARG1-204	ENST00000469293.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3183	-9.9658	-9.9658	-0.7834	-9.9658	-2.4659	1.2636	-9.9658	0.3685	-9.9658	-9.9658	2.2693	-9.9658	-9.9658	2.3677	-9.9658	-9.9658	1.7489	-1.1811	-1.8314	-3.0469	-9.9658	-4.2934	-9.9658	-9.9658	-0.9971	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	0.3907
ARG1-205	ENST00000484820.1	-9.9658	-9.9658	-9.9658	-2.8262	-2.3147	-5.0116	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.5332	-9.9658	-5.0116	-9.9658	-9.9658	-1.9942	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	1.334	-2.114	-9.9658	1.3511	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-5.5735	-9.9658	-9.9658
ARG1-206	ENST00000498260.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-0.5973	-9.9658	-3.458	2.4908	-1.8314	-9.9658	-0.5543	-4.2934	0.4447	-9.9658	-9.9658	2.6067	-9.9658	-9.9658	3.1129	-9.9658	-9.9658	1.3735	-0.6416	3.1908	-2.7274	-9.9658	2.6138	-9.9658	-9.9658	1.8444	-9.9658	-0.4921	-3.816	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-1.1488	-9.9658	2.0465
ARG2-201	ENST00000261783.3	2.1925	0.0158	1.614	3.5022	-2.0529	2.6161	-2.0529	0.605	-2.4659	-1.5951	-3.6259	-1.8836	-0.4131	-0.2498	-3.3076	0.9038	0.537	0.7999	-0.8863	-0.8339	2.9581	-1.9379	-0.6873	-0.3566	-2.5479	0.9343	-2.114	-0.4719	-0.9686	-3.6259	-1.9942	-0.5973	1.1184	-0.7108	-1.5951	0.8082	1.5854	-0.8084	-2.6349	-1.0559	-0.3022	1.3283	-0.013	1.6466	0.8726
ARG2-202	ENST00000556491.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-2.9324	-9.9658	-3.458	-9.9658	-9.9658	-1.685	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-3.0469	-9.9658
ARG2-203	ENST00000557120.5	-0.6643	-2.1779	-2.9324	-1.1488	-1.5105	-1.8314	-5.0116	-0.4325	-9.9658	-9.9658	-9.9658	-2.4659	-9.9658	-3.458	-4.035	-9.9658	-9.9658	-2.9324	-9.9658	-2.5479	-1.3921	-9.9658	-0.8599	-1.9942	-6.5064	-9.9658	-2.5479	-2.7274	-1.9942	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.685	-9.9658	-2.114	-6.5064	-1.8314	-1.3921	-9.9658	-3.3076	-9.9658
ARG2-204	ENST00000557319.1	-0.8599	-0.8339	-0.6873	-0.2671	-2.4659	-0.5756	-2.8262	-0.6416	-3.816	-9.9658	-3.458	-9.9658	-2.3884	-9.9658	-1.9942	-0.9971	-1.8836	-1.0262	-1.4699	-9.9658	-9.9658	-3.3076	-1.8836	-5.5735	-3.1714	-1.5951	-2.3884	-2.3147	-0.3022	-3.1714	-9.9658	-9.9658	-0.1993	-3.0469	-2.0529	-1.9379	-9.9658	-1.0559	-1.7322	-9.9658	-3.0469	-1.1811	-1.7809	-1.9942	-3.0469
