Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
ARG1-201	ENST00000275196.5	-9.9658	-9.9658	-9.9658	-9.9658	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-4.2934	-9.9658	-9.9658
ARG1-202	ENST00000356962.2	-9.9658	-5.5735	-9.9658	-4.6082	-5.5735	-9.9658	-5.5735	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-5.5735	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-3.816	-9.9658	-5.5735	-9.9658	-5.5735	-2.3147	-3.816	-9.9658	-9.9658	-9.9658	-5.0116
ARG1-203	ENST00000368087.7	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ARG1-204	ENST00000469293.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ARG1-205	ENST00000484820.1	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-6.5064	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ARG1-206	ENST00000498260.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-4.2934	-1.8836	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ARG2-201	ENST00000261783.3	0.6608	-0.6416	0.6969	0.0158	-1.6394	0.434	-1.5522	1.5758	1.5415	-0.8339	-1.9942	-0.4719	0.2154	-0.8599	0.4761	0.8568	2.578	1.3735	-1.5105	1.0573	-2.5479	-2.6349	-2.114	-1.2828	-3.458	1.0151	0.4967	0.4967	-2.114	-0.1993	0.03	-1.6394	1.7489	-0.7834	-0.2328	0.9115	-0.1504	0.24	-1.4305	-0.1345	-1.1488	0.2277	1.0779	-0.6873	0.4761	-2.0529	1.5709
ARG2-202	ENST00000556491.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.1779	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.7322	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ARG2-203	ENST00000557120.5	-4.2934	-9.9658	-9.9658	-9.9658	-3.816	-3.6259	-3.1714	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-1.7322	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-2.3884	-3.458	-9.9658	-9.9658	-9.9658	-3.3076	-2.8262	-1.685	-9.9658	-9.9658	-9.9658	-1.4699	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458
ARG2-204	ENST00000557319.1	-2.4659	-3.1714	-9.9658	-9.9658	-9.9658	-3.0469	-1.9942	-9.9658	-2.9324	-9.9658	-9.9658	-3.816	-9.9658	-2.4659	-9.9658	-3.3076	-9.9658	-1.4699	-2.6349	-9.9658	-2.7274	-9.9658	-2.7274	-9.9658	-2.6349	-9.9658	-0.1993	-2.7274	-9.9658	-9.9658	-9.9658	-2.0529	-9.9658	-3.6259	-2.7274	-1.0559	-2.1779	-9.9658	-9.9658	-9.9658	-2.2447	-9.9658	-2.2447	-2.8262	-9.9658	-4.035	-9.9658
BIRC7-201	ENST00000217169.7	0.4761	0.688	-1.7809	1.4335	-0.2159	-1.2481	-0.2159	0.099	2.409	1.8683	1.177	1.1184	-3.6259	-0.0425	1.4281	0.6608	-9.9658	1.3511	-0.0574	-1.2481	-9.9658	3.2826	1.4547	0.9191	0.4552	1.2516	2.5388	2.3451	0.03	-1.0862	1.2333	-0.2845	-0.5543	-0.6416	0.044	1.8524	1.6604	-0.3752	-0.8084	-0.9971	1.6649	2.5011	-9.9658	-0.2328	1.0503	-1.7809	0.547
