Name	sample	TCGA-AB-2803-03	TCGA-AB-2805-03	TCGA-AB-2806-03	TCGA-AB-2808-03	TCGA-AB-2810-03	TCGA-AB-2811-03	TCGA-AB-2812-03	TCGA-AB-2813-03	TCGA-AB-2814-03	TCGA-AB-2815-03	TCGA-AB-2816-03	TCGA-AB-2817-03	TCGA-AB-2818-03	TCGA-AB-2819-03	TCGA-AB-2820-03	TCGA-AB-2821-03	TCGA-AB-2822-03	TCGA-AB-2823-03	TCGA-AB-2824-03	TCGA-AB-2825-03	TCGA-AB-2826-03	TCGA-AB-2828-03	TCGA-AB-2830-03	TCGA-AB-2832-03	TCGA-AB-2833-03	TCGA-AB-2834-03	TCGA-AB-2835-03	TCGA-AB-2836-03	TCGA-AB-2837-03	TCGA-AB-2838-03	TCGA-AB-2839-03	TCGA-AB-2840-03	TCGA-AB-2841-03	TCGA-AB-2842-03	TCGA-AB-2843-03	TCGA-AB-2844-03	TCGA-AB-2845-03	TCGA-AB-2846-03	TCGA-AB-2847-03	TCGA-AB-2848-03	TCGA-AB-2849-03	TCGA-AB-2851-03	TCGA-AB-2853-03	TCGA-AB-2854-03	TCGA-AB-2855-03	TCGA-AB-2856-03	TCGA-AB-2857-03	TCGA-AB-2858-03	TCGA-AB-2859-03	TCGA-AB-2860-03	TCGA-AB-2861-03	TCGA-AB-2862-03	TCGA-AB-2863-03	TCGA-AB-2865-03	TCGA-AB-2866-03	TCGA-AB-2867-03	TCGA-AB-2868-03	TCGA-AB-2869-03	TCGA-AB-2870-03	TCGA-AB-2871-03	TCGA-AB-2872-03	TCGA-AB-2873-03	TCGA-AB-2874-03	TCGA-AB-2875-03	TCGA-AB-2876-03	TCGA-AB-2877-03	TCGA-AB-2878-03	TCGA-AB-2879-03	TCGA-AB-2880-03	TCGA-AB-2881-03	TCGA-AB-2882-03	TCGA-AB-2883-03	TCGA-AB-2884-03	TCGA-AB-2885-03	TCGA-AB-2886-03	TCGA-AB-2887-03	TCGA-AB-2889-03	TCGA-AB-2890-03	TCGA-AB-2891-03	TCGA-AB-2892-03	TCGA-AB-2893-03	TCGA-AB-2894-03	TCGA-AB-2895-03	TCGA-AB-2896-03	TCGA-AB-2897-03	TCGA-AB-2898-03	TCGA-AB-2899-03	TCGA-AB-2900-03	TCGA-AB-2901-03	TCGA-AB-2903-03	TCGA-AB-2904-03	TCGA-AB-2908-03	TCGA-AB-2910-03	TCGA-AB-2911-03	TCGA-AB-2912-03	TCGA-AB-2913-03	TCGA-AB-2914-03	TCGA-AB-2915-03	TCGA-AB-2916-03	TCGA-AB-2917-03	TCGA-AB-2918-03	TCGA-AB-2919-03	TCGA-AB-2920-03	TCGA-AB-2921-03	TCGA-AB-2924-03	TCGA-AB-2925-03	TCGA-AB-2927-03	TCGA-AB-2928-03	TCGA-AB-2929-03	TCGA-AB-2930-03	TCGA-AB-2931-03	TCGA-AB-2932-03	TCGA-AB-2933-03	TCGA-AB-2934-03	TCGA-AB-2935-03	TCGA-AB-2936-03	TCGA-AB-2937-03	TCGA-AB-2938-03	TCGA-AB-2939-03	TCGA-AB-2940-03	TCGA-AB-2941-03	TCGA-AB-2942-03	TCGA-AB-2943-03	TCGA-AB-2944-03	TCGA-AB-2946-03	TCGA-AB-2948-03	TCGA-AB-2949-03	TCGA-AB-2950-03	TCGA-AB-2952-03	TCGA-AB-2954-03	TCGA-AB-2955-03	TCGA-AB-2956-03	TCGA-AB-2959-03	TCGA-AB-2963-03	TCGA-AB-2964-03	TCGA-AB-2965-03	TCGA-AB-2966-03	TCGA-AB-2967-03	TCGA-AB-2969-03	TCGA-AB-2970-03	TCGA-AB-2971-03	TCGA-AB-2972-03	TCGA-AB-2973-03	TCGA-AB-2975-03	TCGA-AB-2976-03	TCGA-AB-2977-03	TCGA-AB-2978-03	TCGA-AB-2979-03	TCGA-AB-2980-03	TCGA-AB-2981-03	TCGA-AB-2983-03	TCGA-AB-2984-03	TCGA-AB-2985-03	TCGA-AB-2986-03	TCGA-AB-2987-03	TCGA-AB-2988-03	TCGA-AB-2990-03	TCGA-AB-2991-03	TCGA-AB-2993-03	TCGA-AB-2994-03	TCGA-AB-2995-03	TCGA-AB-2996-03	TCGA-AB-2998-03	TCGA-AB-2999-03	TCGA-AB-3000-03	TCGA-AB-3002-03	TCGA-AB-3005-03	TCGA-AB-3006-03	TCGA-AB-3007-03	TCGA-AB-3008-03	TCGA-AB-3009-03	TCGA-AB-3011-03	TCGA-AB-3012-03
ARG1-201	ENST00000275196.5	-9.9658	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.4131	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6873	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3548	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.3346	-9.9658	-9.9658	-9.9658	-9.9658	-1.3921	-9.9658	-9.9658	-9.9658	-1.3183	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8836	-2.3884	-9.9658	-9.9658	-9.9658
ARG1-202	ENST00000356962.2	-0.1187	-9.9658	-9.9658	4.1178	1.8036	-0.8339	-9.9658	-1.4699	0.3231	-9.9658	-1.0559	0.434	1.934	-9.9658	-9.9658	0.03	-9.9658	-9.9658	-9.9658	-1.2142	2.7051	-1.5951	0.0014	-2.7274	0.7664	0.8883	-9.9658	-0.0425	0.2881	2.128	-9.9658	-0.2159	-0.9132	-3.3076	-9.9658	-9.9658	-0.3566	0.044	-9.9658	1.3051	-0.5125	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-0.5756	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	1.0007	0.9268	-9.9658	-9.9658	-9.9658	-0.9132	0.679	0.3796	-9.9658	0.9343	-9.9658	0.6425	-1.6394	-9.9658	-9.9658	0.4552	-0.9971	-9.9658	-9.9658	-0.4921	-0.7108	-9.9658	-9.9658	-9.9658	-0.6873	-0.9971	-9.9658	-4.035	-3.458	0.1519	2.753	-9.9658	1.105	-9.9658	-1.1172	-9.9658	-0.0574	-9.9658	-9.9658	-0.6193	-9.9658	-9.9658	2.6043	-9.9658	-9.9658	-9.9658	-0.8339	-9.9658	0.1257	0.9419	-9.9658	-3.1714	-1.0559	-9.9658	3.1212	-1.1488	-9.9658	2.0673	-2.3147	0.7407	1.0433	-9.9658	-0.7588	-9.9658	-3.6259	0.5271	-9.9658	-0.8863	-0.7834	0.346	1.3283	-9.9658	-2.9324	0.6969	-0.8084	-9.9658	-2.2447	-9.9658	-5.5735	-9.9658	-9.9658	-4.2934	-9.9658	-5.5735	0.3685	-9.9658	-9.9658	0.1519	-0.8599	0.0854	-2.3147	0.547	0.2154	0.1519	-1.7322	-9.9658	-0.7108	-0.6416	-9.9658	-9.9658	-9.9658	-0.1504	-0.4921	1.1382	-2.3147	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.4699	0.3796	-9.9658	0.2029	-0.7588
ARG1-203	ENST00000368087.7	-9.9658	-0.9406	-0.7588	5.5611	2.4171	-0.3566	-0.1187	0.4761	1.9895	-0.7588	-9.9658	-9.9658	4.0436	0.6608	-0.2498	3.0092	-0.7108	-0.1993	1.177	-9.9658	-1.2142	-9.9658	-1.5951	-9.9658	0.3231	3.7625	-0.013	-1.3548	-0.4521	3.7688	0.434	-9.9658	-1.2828	-0.7588	2.3164	-0.4719	-0.5332	0.03	-0.1993	-9.9658	3.1604	-0.5756	-9.9658	2.7249	-1.2481	-2.3884	4.1804	0.3796	-1.0862	1.3846	-1.8836	-0.6643	2.4779	0.8246	-0.4325	4.8192	3.091	-0.6643	-1.2481	-0.3022	-0.7834	1.7403	-1.1811	-0.0277	-9.9658	-0.7588	1.1577	-2.114	-0.8339	-0.0574	2.5634	-9.9658	-0.4131	0.1903	-9.9658	0.9115	-0.8599	1.9601	-1.6394	-1.9942	0.3346	-0.2328	-9.9658	-2.0529	-9.9658	5.2464	-0.3022	0.6699	0.5666	-9.9658	-0.9971	0.7664	-0.1504	-0.5973	-1.1488	-0.7108	0.0854	3.9374	1.5758	2.5536	0.2277	-9.9658	-0.6643	-1.5105	1.5758	-0.8599	0.0158	-0.9132	0.9935	2.7336	-1.8836	-0.2671	2.3649	-1.9379	-9.9658	2.6067	-1.5105	0.7832	2.5112	1.9859	3.5262	-1.5951	0.7233	-0.1504	2.236	3.3619	2.2543	-0.2498	1.4911	-0.4131	0.3231	-1.5951	1.105	0.8647	1.0711	-1.6394	-0.1504	2.6783	-9.9658	0.4761	0.058	1.1897	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	1.4652	-9.9658	-1.2481	0.1648	-9.9658	-9.9658	-0.4921	0.1648	0.2522	1.3956	-0.9686	-9.9658	0.03	1.8722	0.8488	-1.9942	0.2029	0.6425	0.5069	-0.7346	-0.8599	-0.1504	2.77	-0.6193	-9.9658	-1.2828
ARG1-204	ENST00000469293.1	-0.8599	-0.3383	-9.9658	1.0433	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	-9.9658	-9.9658	2.4675	-9.9658	-0.2671	1.5661	-9.9658	-9.9658	-9.9658	-9.9658	-1.9942	-9.9658	-1.3921	-9.9658	-9.9658	1.6964	-9.9658	-9.9658	-9.9658	-9.9658	-1.5951	0.2998	-0.1504	-9.9658	-0.4719	-1.6394	-9.9658	-0.9686	-9.9658	-1.1488	-1.2142	-9.9658	-9.9658	-2.0529	-9.9658	-9.9658	0.3573	-9.9658	-9.9658	-1.0262	-1.9379	-9.9658	-1.5522	-4.2934	-9.9658	0.7493	-0.5543	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-6.5064	-9.9658	-9.9658	-0.394	-9.9658	0.3907	-9.9658	0.1257	-9.9658	-9.9658	-0.6193	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.0529	-9.9658	-1.8836	-9.9658	-9.9658	2.4063	-9.9658	-9.9658	-9.9658	-9.9658	-2.0529	-1.4699	-2.3147	-9.9658	-2.3147	-0.6193	0.4233	2.4831	1.1117	-9.9658	-1.2828	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-0.1665	0.4233	-9.9658	-0.2671	-0.4921	-1.4699	-0.1504	1.787	-3.6259	-9.9658	0.1388	-9.9658	-2.9324	-9.9658	-1.2828	-9.9658	1.0222	-0.1993	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.7809	-9.9658	-0.8084	-5.5735	-0.3201	-9.9658	-1.5951	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6416	-9.9658	-9.9658	0.4657	-9.9658	-9.9658	-0.2328	-2.3147	-2.0529	-9.9658	-9.9658	-9.9658	-1.5522	-1.0262	-2.9324	-9.9658	-2.8262	-2.6349	-9.9658	-0.5332	-2.7274	-9.9658	-2.0529	-1.8836	-9.9658	0.2277	-9.9658	-9.9658	-9.9658
ARG1-205	ENST00000484820.1	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-0.6416	-9.9658	-1.1172	-9.9658	-9.9658	1.674	-0.4921	-9.9658	-9.9658	-0.5543	-9.9658	-0.6873	-1.0262	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-3.1714	-9.9658	-0.8339	-1.2828	-9.9658	-9.9658	-9.9658	-0.6416	-1.8314	-9.9658	-9.9658	-9.9658	-9.9658	-1.7809	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-1.4305	-9.9658	-2.4659	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	0.3685	-9.9658	-9.9658	-9.9658	0.3796	-5.5735	-0.0277	-9.9658	0.2277	-9.9658	0.5666	-9.9658	-0.394	-9.9658	-9.9658	-9.9658	-9.9658	0.3231	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.3566	-9.9658	-9.9658	-0.5756	-9.9658	-9.9658	-9.9658	0.6239	-2.7274	-9.9658	-9.9658	-1.5951	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-0.9406	-9.9658	-2.7274	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.2277	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	-0.3022	-9.9658	-9.9658	-9.9658	-9.9658	-0.9132	-0.3201	-9.9658	0.434	-0.2328	-9.9658	-9.9658	-9.9658	-9.9658	-0.5125	0.1124	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714
ARG1-206	ENST00000498260.1	-1.1172	-0.2845	1.0007	4.1788	0.6517	-0.4719	0.5763	-0.2498	0.1257	-1.6394	-9.9658	-0.013	2.7487	-0.9132	-0.9971	2.1411	-1.0559	0.3907	0.0718	1.1512	1.0363	-0.6873	0.7916	-0.3201	0.1124	1.5661	0.3346	0.5859	0.5069	3.1458	0.2277	-2.3147	-2.114	-0.5756	1.105	0.8246	-0.8599	1.2085	0.9343	1.3679	2.826	-0.0877	0.4447	-0.2328	-0.1345	-1.1488	2.7679	-0.0877	-0.0877	0.2642	-0.1665	-0.6873	1.6327	0.9115	0.0854	3.2158	1.766	-0.394	-1.1488	0.434	0.9115	1.8282	1.3051	0.044	0.5568	1.0363	0.4967	0.346	0.058	0.7832	1.3735	-0.4719	0.4761	0.3231	-0.3383	-0.5125	-0.4719	1.7954	-1.0262	0.9419	-1.5522	-0.5756	0.8805	-2.6349	0.5271	3.8581	0.1124	1.1641	-1.2481	0.4233	-1.5105	-0.5543	0.03	0.044	0.3685	-1.9942	1.0779	2.8838	1.0573	1.4174	-0.1345	-0.013	-1.5105	-0.6873	1.6558	-1.3548	0.3685	0.2881	0.3796	2.118	-0.3022	-0.3022	2.4035	-2.8262	0.605	0.8488	-1.7809	0.1257	0.5955	1.6327	1.8363	1.4494	-0.5756	0.4233	0.547	2.3536	1.0293	0.8961	-2.9324	0.8568	1.7009	-1.3548	1.1512	0.1388	-0.9406	-0.8339	0.5069	2.2452	-0.0277	0.6239	1.6512	-0.1187	-0.1993	-0.8599	0.0854	-1.685	-2.1779	0.1388	0.24	-0.5973	0.3907	-0.9132	-9.9658	-1.3183	0.2762	-0.013	-0.1345	1.1641	0.7493	0.6699	0.6239	1.3109	1.0079	-0.0574	-0.2845	0.547	-1.3548	0.2642	0.8082	1.8879	0.5859	2.043	-0.8084
ARG2-201	ENST00000261783.3	-9.9658	-0.7588	-2.1779	-2.6349	-1.2481	-1.0262	-1.8836	-3.3076	-1.5105	-2.4659	-9.9658	1.8957	-0.8084	-0.5756	1.177	0.7233	-0.8599	-3.6259	-0.013	-2.1779	-1.685	-2.0529	-1.9942	-1.7809	-0.0277	-2.6349	-1.1811	-1.8836	-2.0529	-0.394	-2.0529	-0.8084	-2.6349	-3.0469	0.24	-4.6082	-3.1714	-1.9942	1.3283	-1.5951	2.0673	-1.3548	-2.4659	-2.6349	-0.013	-2.3147	1.0079	-1.1172	-1.1488	0.2881	-1.3548	-2.5479	1.6327	1.1382	-3.3076	-2.4659	-0.6643	-0.6193	-1.9942	0.044	-3.3076	-0.8339	-2.0529	-1.0862	-2.7274	-1.5105	1.9895	-4.035	-2.9324	-1.4305	-0.7346	-3.1714	-1.7322	0.1124	-2.6349	0.7233	-2.1779	-1.1811	-1.1811	-2.0529	-9.9658	-1.2481	-2.0529	-2.7274	-1.2142	-0.6643	-0.7588	-1.8314	2.8602	-0.1031	-0.8599	-3.816	-0.1345	-0.8339	-1.5951	-2.114	-2.114	1.4911	-0.9406	-2.7274	-2.2447	-1.3183	-0.2671	-0.9686	-1.7322	-0.5973	-0.7834	3.5621	1.2875	-4.2934	-1.3548	-1.9942	-1.2481	-0.3022	0.9419	0.9419	1.2455	2.8482	-2.1779	-0.7108	2.328	-9.9658	-1.2142	3.1062	-2.6349	-1.2142	0.03	-2.5479	1.7489	-2.3147	-9.9658	-0.7108	-0.6643	-0.4921	-1.7809	-1.6394	-1.9379	-2.4659	-3.3076	-2.7274	-2.5479	-1.1172	-9.9658	0.058	-2.3884	-4.035	0.6332	-9.9658	-1.9379	-3.1714	-2.114	-4.2934	-2.114	-5.0116	-1.5522	-3.816	-3.6259	-4.035	-1.5951	-0.0425	0.8568	-1.6394	-3.3076	-9.9658	-4.035	0.4016	-2.9324	-2.1779	-2.1779	-1.7322	0.4016	-1.3548	-2.114
ARG2-202	ENST00000556491.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.9942	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.1488	-9.9658	-9.9658	-9.9658	-0.6873	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-0.8863	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8836	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8836	-9.9658	-1.5522	-0.9971	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3884	-9.9658	-1.9379	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3183	-9.9658	-2.1779	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3183	-9.9658	-9.9658	-1.7809	-2.7274	-0.0425	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.6394	-9.9658	-9.9658	-2.4659	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ARG2-203	ENST00000557120.5	-2.2447	0.517	-2.4659	-1.3921	-0.6643	-1.0262	0.1903	-1.3183	-0.7346	-1.0262	-9.9658	1.8484	-1.1172	-9.9658	2.118	0.8082	-0.1828	-0.0425	-0.3566	-1.4699	-9.9658	-2.7274	-0.1504	-1.5522	-0.0574	-0.3201	-2.0529	-1.3921	-0.8599	0.044	0.1903	-9.9658	-1.5951	-1.9379	-0.1665	-1.0559	-0.5125	-1.3548	0.3346	0.2762	1.2934	-1.1172	-1.7322	-0.6643	0.8488	-1.0559	0.2029	0.0158	-0.8084	-9.9658	-0.1665	-9.9658	0.1776	0.679	-1.685	-1.5105	-0.394	-0.2845	-0.1187	-0.3201	-0.6193	-0.5543	-0.3022	-3.1714	-4.035	-1.1811	-0.8339	-1.0262	-1.7809	-0.1187	0.099	-1.9379	-0.0277	-0.8339	-0.6643	1.0079	-1.3183	-0.0574	-0.8339	-9.9658	-4.2934	-0.1504	-1.2481	-0.0877	-1.0262	0.5763	-1.9942	-1.2142	1.2516	-0.8863	-0.9132	-1.3548	0.688	-1.3921	-1.685	0.5955	-1.3921	0.8726	-0.1187	-0.9971	-0.7108	0.346	1.2455	-0.9971	-1.4305	-9.9658	0.4657	2.4412	1.8484	-1.3921	0.1648	-1.7809	-9.9658	-1.4699	0.5568	1.5998	-0.3566	0.7748	-1.5951	-0.5756	-0.1031	-0.5973	-1.3183	2.6208	-0.6193	-1.2481	0.434	-0.9971	0.9935	0.4233	-1.685	-0.8339	0.9493	-1.1172	-0.7834	-0.7346	-1.3548	-0.8599	-1.3921	-1.0262	-0.0725	-1.5105	-3.6259	-9.9658	-2.3884	-3.6259	-1.3183	-2.9324	-1.9942	-1.2142	1.1706	-2.4659	-9.9658	-9.9658	-3.0469	-0.2159	-0.6193	-1.3183	0.5666	1.196	0.3907	-1.1172	-0.3752	-1.3183	-0.9971	0.7146	-1.3183	-0.2845	-0.7588	-2.1779	0.6239	0.3573	-1.5522
ARG2-204	ENST00000557319.1	-0.8863	0.679	-0.6193	-2.114	-0.8339	-1.4699	-2.3884	0.2762	-0.4325	0.2881	-9.9658	1.9968	0.2762	0.5763	2.362	1.2085	0.044	0.8164	-9.9658	0.3115	-0.6643	1.0363	0.0718	-1.5951	0.0158	0.1903	-2.4659	-0.6193	-0.6643	-0.7588	0.2762	-3.0469	-9.9658	-0.4325	0.2998	-0.6873	-0.5756	0.03	0.4865	0.8568	2.0776	0.3907	-1.4305	0.0854	0.099	-1.4305	1.2333	-0.1665	0.1519	-0.9132	-0.0725	-0.8599	-1.5105	0.0158	0.7579	0.2154	0.2881	-0.9406	-1.685	0.8726	0.6699	0.1519	0.0718	-1.3183	-2.3884	-0.394	-0.3566	0.5763	-0.2328	0.4447	0.4657	-0.8084	0.1648	0.7832	0.044	1.7744	-0.7346	0.6425	-0.1993	0.24	-0.5332	0.7146	0.4967	-0.8339	-0.1031	0.6608	0.3907	-1.4699	1.3109	-1.1172	-1.3548	-0.5332	0.7407	-9.9658	-0.1665	0.9493	-0.9132	0.6425	0.9568	0.8726	0.4552	0.537	0.1648	-0.394	-0.2328	-1.0559	0.4761	2.1988	1.8444	-0.0574	-0.7346	-0.6193	-0.8084	0.1648	0.9789	2.0569	-0.4131	1.0079	-2.8262	-0.5973	1.2394	-0.394	-0.2159	2.561	0.1903	0.2154	-0.9971	0.2762	0.2522	-0.0425	-0.1345	-0.1345	1.5563	-0.6873	-9.9658	-0.2671	0.3685	0.1257	-1.2142	0.537	0.3573	-0.4921	-1.0559	-0.1031	-0.8863	-2.3884	-1.8836	-2.9324	-0.5973	-0.2671	0.8082	-3.458	-0.013	-3.6259	-1.5105	0.6969	0.1388	-1.0862	0.7407	0.7832	0.7999	-0.4131	0.1257	-9.9658	0.7832	0.044	-1.0262	-0.6643	-0.4719	-0.1665	1.934	1.2934	0.1776
